SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Storage Media,Group,Group Description,usageType,operation,Alarm Type,Database Engine Type,Instance Configuration Type,Logs Destination,Region Code,serviceName,Type,Type Description,Version
23KYR9JGZ2VY4UFS,JRTCKXETXF,23KYR9JGZ2VY4UFS.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0125 per vCPU-Hour monitored by Database Insights for Aurora PostgreSQL provisioned databases,2025-05-01,0,Inf,vCPU-Hours,0.0125000000,USD,,CloudWatch Database Insights,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-DatabaseInsights,Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases,USE1-CW:DatabaseInsights-vCPU-Hours,Aurora-PostgreSQL:Provisioned,,Aurora-PostgreSQL,Provisioned,,us-east-1,AmazonCloudWatch,,,
2G2RG8TB9A6ZVN56,JRTCKXETXF,2G2RG8TB9A6ZVN56.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.12 per GB for data scanned with Data Protection in US East (N. Virginia),2025-05-01,0,Inf,GB,0.1200000000,USD,,,AmazonCloudWatch,US East (N. Virginia),AWS Region,,DataProtection Logs,CloudWatch Logs Data Protection,USE1-DataProtection-Bytes,PutLogEvents,,,,,us-east-1,AmazonCloudWatch,,,
2GGHQDEG4JRW9QUJ,JRTCKXETXF,2GGHQDEG4JRW9QUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD0.0125 per vCPU-Hour monitored by Database Insights for Aurora MySQL provisioned databases,2025-05-01,0,Inf,vCPU-Hours,0.0125000000,USD,,CloudWatch Database Insights,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-DatabaseInsights,Granular database and SQL query metrics in a curated observability experience for Amazon Aurora and RDS databases,USE1-CW:DatabaseInsights-vCPU-Hours,Aurora-MySQL:Provisioned,,Aurora-MySQL,Provisioned,,us-east-1,AmazonCloudWatch,,,
3DYG3BP6HCKUJRQV,JRTCKXETXF,3DYG3BP6HCKUJRQV.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.25 per GB of CloudFront log data delivered to Kinesis Firehose for the first 10TB  -  US East (Northern Virginia),2025-05-01,0,10240,GB,0.2500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Amazon CloudFront and delivered to Firehose as Vended Logs,USE1-FH-Egress-Bytes-CFLogs,,,,,Amazon Kinesis Data Firehose,us-east-1,AmazonCloudWatch,,,Current
3DYG3BP6HCKUJRQV,JRTCKXETXF,3DYG3BP6HCKUJRQV.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.15 per GB of CloudFront log data delivered to Kinesis Firehose for the next 20TB  -  US East (Northern Virginia),2025-05-01,10240,30720,GB,0.1500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Amazon CloudFront and delivered to Firehose as Vended Logs,USE1-FH-Egress-Bytes-CFLogs,,,,,Amazon Kinesis Data Firehose,us-east-1,AmazonCloudWatch,,,Current
3DYG3BP6HCKUJRQV,JRTCKXETXF,3DYG3BP6HCKUJRQV.JRTCKXETXF.AMET9K77J3,OnDemand,$0.075 per GB of CloudFront log data delivered to Kinesis Firehose for the next 20TB  -  US East (Northern Virginia),2025-05-01,30720,51200,GB,0.0750000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Amazon CloudFront and delivered to Firehose as Vended Logs,USE1-FH-Egress-Bytes-CFLogs,,,,,Amazon Kinesis Data Firehose,us-east-1,AmazonCloudWatch,,,Current
3DYG3BP6HCKUJRQV,JRTCKXETXF,3DYG3BP6HCKUJRQV.JRTCKXETXF.AQTKZ3QBDA,OnDemand,$0.05 per GB of CloudFront log data delivered to Kinesis Firehose over 50TB  -  US East (Northern Virginia),2025-05-01,51200,Inf,GB,0.0500000000,USD,85NYBRRPURC8EH9H,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Delivered Logs,Logs generated by Amazon CloudFront and delivered to Firehose as Vended Logs,USE1-FH-Egress-Bytes-CFLogs,,,,,Amazon Kinesis Data Firehose,us-east-1,AmazonCloudWatch,,,Current
3ZJZSGX8K87XPW4R,A429C66SYZ,3ZJZSGX8K87XPW4R.A429C66SYZ.DGNP37V5JW,OnDemand,Global,2025-05-01,0,10,Metrics,0.0000000000,USD,,Bundle,AmazonCloudWatch,Any,AWS Region,,CW-MonthlyFree-Metric,Monthly free usage of metrics,Global-CW:MetricMonitorUsage,,,,,,,AmazonCloudWatch,,,
42JEY9E69W2KQN47,JRTCKXETXF,42JEY9E69W2KQN47.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per CloudWatch RUM events first time free tier in US East (N. Virginia),2025-05-01,0,Inf,Events,0.0000000000,USD,,,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-RUM,CloudWatch RUM free events,USE1-CW:RUM-free-events,PutRumEvents,,,,,us-east-1,AmazonCloudWatch,,,
466C636KV6VS3849,JRTCKXETXF,466C636KV6VS3849.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per GB log data scanned by CloudWatch Logs Insights queries - US East (Northern Virginia),2025-05-01,0,Inf,GB,0.0050000000,USD,W5GFVRZDCZQHBBU2,Data Payload,AmazonCloudWatch,US East (N. Virginia),AWS Region,,Queried Logs,Log data queried using CloudWatch Logs Insights,USE1-DataScanned-Bytes,StartQuery,,,,,us-east-1,AmazonCloudWatch,,,
4DAN5Z24DZ67DTM2,JRTCKXETXF,4DAN5Z24DZ67DTM2.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.35 per GB of Application Signals data ingested for the first 10TB - US East (N. Virginia),2025-05-01,0,10240,GB,0.3500000000,USD,,Application Signals Bytes,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Application-Signals-bundle,CloudWatch Application Signals Bytes,USE1-Application-Signals-Bytes,,,,,,us-east-1,AmazonCloudWatch,,,
4DAN5Z24DZ67DTM2,JRTCKXETXF,4DAN5Z24DZ67DTM2.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.20 per GB of Application Signals data ingested for the next 20TB - US East (N. Virginia),2025-05-01,10240,30720,GB,0.2000000000,USD,,Application Signals Bytes,AmazonCloudWatch,US East (N. Virginia),AWS Region,,CW-Application-Signals-bundle,CloudWatch Application Signals Bytes,USE1-Application-Signals-Bytes,,,,,,us-east-1,AmazonCloudWatch,,,
