SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Memory,Network Performance,usageType,operation,Region Code,serviceName
2VVF9GZZB84N447F,JRTCKXETXF,2VVF9GZZB84N447F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$12.234 per Enhanced High Memory r7i.24xlarge node-hour (or partial hour) running DAX in US East (N. Virginia),2025-04-01,0,Inf,Hrs,12.2340000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r7i.24xlarge,Yes,DAX,96,768,25 Gigabit,USE1-NodeUsage:dax.r7i.24xlarge,,us-east-1,DynamoDB Accelerator (DAX)
5MBJQG336MC9E523,JRTCKXETXF,5MBJQG336MC9E523.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.080 per Enhanced High Memory t3.medium node-hour (or partial hour) running DAX in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0800000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,t3.medium,Yes,DAX,2,4,Low to Moderate,USE1-NodeUsage:dax.t3.medium,,us-east-1,DynamoDB Accelerator (DAX)
76T7QTQ6CY92BXFB,JRTCKXETXF,76T7QTQ6CY92BXFB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.255 per Enhanced High Memory dax.r5.large node-hour (or partial hour) in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.2550000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r5.large,Yes,DAX,2,16,Moderate,USE1-NodeUsage:dax.r5.large,,us-east-1,DynamoDB Accelerator (DAX)
7K8MJ45AAJ8H4DZF,JRTCKXETXF,7K8MJ45AAJ8H4DZF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.034 per Enhanced High Memory dax.r5.4xlarge node-hour (or partial hour) in US East (N. Virginia),2025-04-01,0,Inf,Hrs,2.0340000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r5.4xlarge,Yes,DAX,16,128,High,USE1-NodeUsage:dax.r5.4xlarge,,us-east-1,DynamoDB Accelerator (DAX)
86JDBMRMYZS4QVB9,JRTCKXETXF,86JDBMRMYZS4QVB9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.269 per Enhanced High Memory r4.large node-hour (or partial hour) running DAX,2025-04-01,0,Inf,Hrs,0.2690000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r4.large,Yes,DAX,2,15.25,Moderate,USE1-NodeUsage:dax.r4.large,,us-east-1,DynamoDB Accelerator (DAX)
983STTMRCZTVZQTH,JRTCKXETXF,983STTMRCZTVZQTH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.590 per Enhanced High Memory r4.16xlarge node-hour (or partial hour) running DAX,2025-04-01,0,Inf,Hrs,8.5900000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r4.16xlarge,Yes,DAX,64,488,20 Gigabit,USE1-NodeUsage:dax.r4.16xlarge,,us-east-1,DynamoDB Accelerator (DAX)
9P72VE9A8Q6H5ZZZ,JRTCKXETXF,9P72VE9A8Q6H5ZZZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.069 per Enhanced High Memory dax.r5.8xlarge node-hour (or partial hour) in US East (N. Virginia),2025-04-01,0,Inf,Hrs,4.0690000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r5.8xlarge,Yes,DAX,32,256,10 Gigabit,USE1-NodeUsage:dax.r5.8xlarge,,us-east-1,DynamoDB Accelerator (DAX)
B93M39CZ59EM5Y69,JRTCKXETXF,B93M39CZ59EM5Y69.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.295 per Enhanced High Memory r4.8xlarge node-hour (or partial hour) running DAX,2025-04-01,0,Inf,Hrs,4.2950000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r4.8xlarge,Yes,DAX,32,244,10 Gigabit,USE1-NodeUsage:dax.r4.8xlarge,,us-east-1,DynamoDB Accelerator (DAX)
D26EP3TKBUSPKTNC,JRTCKXETXF,D26EP3TKBUSPKTNC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.255 per Enhanced High Memory r7i.large node-hour (or partial hour) running DAX in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.2550000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r7i.large,Yes,DAX,2,16,Moderate,USE1-NodeUsage:dax.r7i.large,,us-east-1,DynamoDB Accelerator (DAX)
DV4YH672UZVQ2CUX,JRTCKXETXF,DV4YH672UZVQ2CUX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.017 per Enhanced High Memory  dax.r5.2xlarge node-hour (or partial hour) in US East (N. Virginia),2025-04-01,0,Inf,Hrs,1.0170000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r5.2xlarge,Yes,DAX,8,64,High,USE1-NodeUsage:dax.r5.2xlarge,,us-east-1,DynamoDB Accelerator (DAX)
EHRZ4K5ETTAJ9VQX,JRTCKXETXF,EHRZ4K5ETTAJ9VQX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.137 per Enhanced High Memory dax.r5.16xlarge node-hour (or partial hour) in US East (N. Virginia),2025-04-01,0,Inf,Hrs,8.1370000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r5.16xlarge,Yes,DAX,64,512,20 Gigabit,USE1-NodeUsage:dax.r5.16xlarge,,us-east-1,DynamoDB Accelerator (DAX)
ESBJ5JPFJ7WAQYKV,JRTCKXETXF,ESBJ5JPFJ7WAQYKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.509 per Enhanced High Memory dax.r5.xlarge node-hour (or partial hour) in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.5090000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r5.xlarge,Yes,DAX,4,32,Moderate,USE1-NodeUsage:dax.r5.xlarge,,us-east-1,DynamoDB Accelerator (DAX)
FANF7NCV3JKW8TCU,JRTCKXETXF,FANF7NCV3JKW8TCU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.017 per Enhanced High Memory r7i.2xlarge node-hour (or partial hour) running DAX in US East (N. Virginia),2025-04-01,0,Inf,Hrs,1.0170000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,r7i.2xlarge,Yes,DAX,6,64,High,USE1-NodeUsage:dax.r7i.2xlarge,,us-east-1,DynamoDB Accelerator (DAX)
FMR3NTZEHE8RSG4J,JRTCKXETXF,FMR3NTZEHE8RSG4J.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.040 per Enhanced High Memory t2.small node-hour (or partial hour) running DAX,2025-04-01,0,Inf,Hrs,0.0400000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,t2.small,Yes,DAX,1,2,Low to Moderate,USE1-NodeUsage:dax.t2.small,,us-east-1,DynamoDB Accelerator (DAX)
FYV47NP6NCAHDVT8,JRTCKXETXF,FYV47NP6NCAHDVT8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.080 per Enhanced High Memory t2.medium node-hour (or partial hour) running DAX,2025-04-01,0,Inf,Hrs,0.0800000000,USD,DAX,AmazonDAX,US East (N. Virginia),AWS Region,t2.medium,Yes,DAX,2,4,Low to Moderate,USE1-NodeUsage:dax.t2.medium,,us-east-1,DynamoDB Accelerator (DAX)
