SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Instance Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Min Volume Size,Max Volume Size,Engine Code,Database Engine,Group,Group Description,usageType,operation,Enhanced Networking Supported,Instance Type Family,Normalization Size Factor,Processor Features,Region Code,serviceName,Volume_Optimization
28APUFA59KZ3RFA6,JRTCKXETXF,28APUFA59KZ3RFA6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.15786 per db.r6g.2xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.1579000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6g.2xlarge,Yes,Memory optimized,8,AWS Graviton2,Up to 3.1 GHz,64 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r6g.2xl,CreateDBInstance:0023,,R6G,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
29KASEEDNTXUK3N6,JRTCKXETXF,29KASEEDNTXUK3N6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.864 per db.r4.16xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,8.8640000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.16xlarge,Yes,Memory optimized,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,488 GiB,,20 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r4.16xl,CreateDBInstance:0023,Yes,R4,128,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
2ZQ3T37BAH29WM4X,JRTCKXETXF,2ZQ3T37BAH29WM4X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.554 per db.r4.xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.5540000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.xlarge,Yes,Memory optimized,4,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,30.5 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r4.xlarge,CreateDBInstance:0023,Yes,R4,8,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
3FW58RPW3N59F5DQ,JRTCKXETXF,3FW58RPW3N59F5DQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.09 per vCPU-hour of T3 CPU credits,2025-05-01,0,Inf,vCPU-Hours,0.0900000000,USD,CPU Credits,AmazonDocDB,US East (N. Virginia),AWS Region,db.t3.medium,,,,,,,,,,,,,,23,Amazon DocumentDB,,,CPUCredits:db.t3,CreateDBInstance:0023,,T3,,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),
3KNMHQVVGP4854YF,JRTCKXETXF,3KNMHQVVGP4854YF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.277 per db.r4.large instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.2770000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.large,Yes,Memory optimized,2,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,15.25 GiB,,Up to 10 Gigabit,64-bit,,General Purpose,,,23,Amazon DocumentDB,,,InstanceUsage:db.r4.large,CreateDBInstance:0023,Yes,R4,4,Intel AVX,Intel AVX2,Intel Turbo,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
47SJMK6B5K8HTUUJ,JRTCKXETXF,47SJMK6B5K8HTUUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.2188 per db.r4.2xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,1.2188000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.2xlarge,Yes,Memory optimized,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,61 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r4.2xlarge,CreateDBInstance:0023,,R4,16,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
4CF7JSPWXCN4J84M,JRTCKXETXF,4CF7JSPWXCN4J84M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.3047 per db.r4.large IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.3047000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r4.large,Yes,Memory optimized,2,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,15.25 GiB,,Up to 10 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r4.large,CreateDBInstance:0023,,R4,4,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
4GWRREXEDKWW7XQP,JRTCKXETXF,4GWRREXEDKWW7XQP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.6421 per db.r6gd.xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,0.6421000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.xlarge,Yes,Memory optimized,4,AWS Graviton2,Up to 3.1 GHz,32 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,64-bit,,NVMe SSD,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6gd.xl,CreateDBInstance:0023,,R6GD,8,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
4K99P9P34BBFX7KQ,JRTCKXETXF,4K99P9P34BBFX7KQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5.1358 per db.r6gd.8xlarge instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,5.1358000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r6gd.8xlarge,Yes,Memory optimized,32,AWS Graviton2,Up to 3.1 GHz,256 GiB,1 x 1900 NVMe SSD,12 Gigabit,64-bit,,NVMe SSD,,,23,Amazon DocumentDB,,,InstanceUsage:db.r6gd.8xl,CreateDBInstance:0023,,R6GD,64,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),General
4RVYEZ6XEGXWXEDA,JRTCKXETXF,4RVYEZ6XEGXWXEDA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$14.6256 per db.r5.24xlarge IO-Optimized instance hour (or partial hour) running Amazon DocumentDB,2025-05-01,0,Inf,Hrs,14.6256000000,USD,Database Instance,AmazonDocDB,US East (N. Virginia),AWS Region,db.r5.24xlarge,Yes,Memory optimized,96,Intel Xeon Platinum 8175,Up to 3.1 GHz,768 GiB,,25 Gigabit,64-bit,,IO-Optimized-DocDB,,,23,Amazon DocumentDB,,,InstanceUsageIOOptimized:db.r5.24xl,CreateDBInstance:0023,,R5,192,,us-east-1,Amazon DocumentDB (with MongoDB compatibility),IO-Optimized
