SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Tenancy,usageType,operation,CPUType,InstanceType,MemoryType,Region Code,serviceName,StorageType,TierType
22V8ER3JD3VGP5QM,JRTCKXETXF,22V8ER3JD3VGP5QM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.52410 per hour for EKS Auto Mode management of r7i.metal-48xl in US East (N. Virginia),2025-05-01,0,Inf,hours,1.5241000000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:r7i.metal-48xl-management-hours,EKSAutoUsage,,r7i.metal-48xl,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
236Q65CUKP74CJ5R,JRTCKXETXF,236Q65CUKP74CJ5R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04927 per hour for EKS Auto Mode management of c7a.2xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.0492700000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:c7a.2xlarge-management-hours,EKSAutoUsage,,c7a.2xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
23AH8N85SZYQ4SWF,JRTCKXETXF,23AH8N85SZYQ4SWF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.18432 per hour for EKS Auto Mode management of m5.8xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.1843200000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:m5.8xlarge-management-hours,EKSAutoUsage,,m5.8xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
259TQBFSWS7UP5NQ,JRTCKXETXF,259TQBFSWS7UP5NQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.91123 per hour for EKS Auto Mode management of m6id.32xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.9112300000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:m6id.32xlarge-management-hours,EKSAutoUsage,,m6id.32xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
25J95V3BKQY9C6Y5,JRTCKXETXF,25J95V3BKQY9C6Y5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.28608 per hour for EKS Auto Mode management of r5b.8xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.2860800000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:r5b.8xlarge-management-hours,EKSAutoUsage,,r5b.8xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
273WPEFJV2SKGP22,JRTCKXETXF,273WPEFJV2SKGP22.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04800 per hour for EKS Auto Mode management of m4.2xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.0480000000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:m4.2xlarge-management-hours,EKSAutoUsage,,m4.2xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
27FEP7XHV85U3WXN,JRTCKXETXF,27FEP7XHV85U3WXN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.49702 per hour for EKS Auto Mode management of i7ie.24xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,1.4970200000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:i7ie.24xlarge-management-hours,EKSAutoUsage,,i7ie.24xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
27VE3QR7H5UZTQ4G,JRTCKXETXF,27VE3QR7H5UZTQ4G.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.50060 per hour for EKS Auto Mode management of r6idn.32xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,1.5006000000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:r6idn.32xlarge-management-hours,EKSAutoUsage,,r6idn.32xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
28SQQBQUBSSBVZQF,JRTCKXETXF,28SQQBQUBSSBVZQF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.21773 per hour for EKS Auto Mode management of r6a.8xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.2177300000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:r6a.8xlarge-management-hours,EKSAutoUsage,,r6a.8xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
2CKMQCAH869ZBFRE,JRTCKXETXF,2CKMQCAH869ZBFRE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.44352 per hour for EKS Auto Mode management of c5a.24xlarge in US East (N. Virginia),2025-05-01,0,Inf,hours,0.4435200000,USD,Compute,AmazonEKS,US East (N. Virginia),AWS Region,,EKS-Auto:c5a.24xlarge-management-hours,EKSAutoUsage,,c5a.24xlarge,,us-east-1,Amazon Elastic Container Service for Kubernetes,,
