SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Current generation,Deployment option,usageType,operation,Cache Type,File cache type,File system type,Region Code,Request type,serviceName,Storage tier,Storage type,Throughput capacity
22C6NU45ED6TZA9T,JRTCKXETXF,22C6NU45ED6TZA9T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.130 per GB-Month of provisioned Windows File Server storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1300000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ,USE1-Storage,CreateFileSystem:Windows,N/A,,Windows,us-east-1,,Amazon FSx,N/A,SSD,N/A
22QXZGRUC46HK9XV,JRTCKXETXF,22QXZGRUC46HK9XV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00040 per 1,000 read requests to ONTAP standard capacity pool storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000004000,USD,Request,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2N,USE1-Requests.SAZ_2N:CPoolStdRd,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,Read,Amazon FSx,,,
2JBXX2HUCR2N9CN2,JRTCKXETXF,2JBXX2HUCR2N9CN2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.025 per GB-Month of persistent HDD Lustre storage with 12 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0250000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.HDD.12,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,HDD,12
2K2PVNVMAB6NC9UP,JRTCKXETXF,2K2PVNVMAB6NC9UP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.340 per GB-Month of persistent SSD Lustre storage with 500 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.3400000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.SSD.500,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,SSD,500
3ATMX2THG9YVHAJ6,JRTCKXETXF,3ATMX2THG9YVHAJ6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.083 per GB-Month of persistent HDD Lustre storage with 40 MB/s per TiB - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0830000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,Yes,Persistent,USE1-Storage.HDD.40,CreateFileSystem:Lustre,N/A,,Lustre,us-east-1,,Amazon FSx,N/A,HDD,40
3EWWMVR8KUSHQTSG,JRTCKXETXF,3EWWMVR8KUSHQTSG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0004 per 1,000 read requests to OpenZFS Intelligent-Tiering storage - US East (N. Virginia),2025-05-01,0,Inf,Operations,0.0000004000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-Requests.MAZ:INT_Read,CreateFileSystem:OpenZFS,N/A,,OpenZFS,us-east-1,Read,Amazon FSx,,,N/A
3RBQY994P2V2P7F4,JRTCKXETXF,3RBQY994P2V2P7F4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per GB-Month of OpenZFS Multi-AZ Backup storage - US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.0500000000,USD,Storage,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-BackupUsage.MAZ,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
4J3942Y6B6JABX4Z,JRTCKXETXF,4J3942Y6B6JABX4Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.500 per MB-per-second-Month of provisioned Multi-AZ Windows File Server throughput capacity - US East (N. Virginia),2025-05-01,0,Inf,MiBps-Mo,4.5000000000,USD,Provisioned Throughput,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ThroughputCapacity.MultiAZ,CreateFileSystem:Windows,,,Windows,us-east-1,,Amazon FSx,,,
4Z8DEN65X89AAWCM,JRTCKXETXF,4Z8DEN65X89AAWCM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.006 per IOPS-Month for provisioned OpenZFS Single-AZ SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0060000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Single-AZ_2,USE1-ProvisionedSSDIOPS.SAZ2,CreateFileSystem:OpenZFS,,,OpenZFS,us-east-1,,Amazon FSx,,,
5B2VYQKCG82UNAKV,JRTCKXETXF,5B2VYQKCG82UNAKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0340 per IOPS-Month of provisioned ONTAP Multi-AZ SSD IOPS - US East (N. Virginia),2025-05-01,0,Inf,IOPS-Mo,0.0340000000,USD,Provisioned IOPS,AmazonFSx,US East (N. Virginia),AWS Region,,Multi-AZ,USE1-ProvisionedSSDIOPS.MAZ,CreateFileSystem:ONTAP,,,ONTAP,us-east-1,,Amazon FSx,,,
