SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Volume Type,Fee Code,Fee Description,Group,Group Description,usageType,operation,Durability,Region Code,serviceName
8VV3YHZC4XYUUMZM,JRTCKXETXF,8VV3YHZC4XYUUMZM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0025 per GB - Bulk Select Data Returned Bytes,2021-12-01,0,Inf,GB,0.0025000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Bulk-Select-Returned,Fee for Select Data Returned using Bulk tier,,,Bulk-Select-Returned-Bytes,,,us-east-1,Amazon Glacier
8XZNV32BAFDEV6W6,JRTCKXETXF,8XZNV32BAFDEV6W6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per GB - Standard Select Data Returned Bytes,2021-12-01,0,Inf,GB,0.0100000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Standard-Select-Returned,Fee for Select Data Returned using Standard tier,,,Std-Select-Returned-Bytes,,,us-east-1,Amazon Glacier
AJRCKNQRBKGAVM6J,JRTCKXETXF,AJRCKNQRBKGAVM6J.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per GB - Expedited Select Data Returned Bytes,2021-12-01,0,Inf,GB,0.0300000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Expedited-Select-Returned,Fee for Select Data Returned using Expedited tier,,,Exp-Select-Returned-Bytes,,,us-east-1,Amazon Glacier
EG3DVFEZB6HNZXY2,JRTCKXETXF,EG3DVFEZB6HNZXY2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$100 per Provisioned Capacity Unit,2021-12-01,0,Inf,Units,100.0000000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Provisioned-Capacity,Fee for Provisioned Retrieval Request Capacity,,,ProvisionedCapacityUnit,,,us-east-1,Amazon Glacier
F29KHPRJU8V3J8NG,JRTCKXETXF,F29KHPRJU8V3J8NG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - Bulk retrieval fee,2021-12-01,0,Inf,GB,0.0000000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Bulk-Retrieval,Fee for Bulk Retrieval of data stored,,,Bulk-Retrieval-Bytes,,,us-east-1,Amazon Glacier
M2MGBWT25Q3VB45M,JRTCKXETXF,M2MGBWT25Q3VB45M.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.001 per GB - Bulk Select Data Scanned Bytes,2021-12-01,0,Inf,GB,0.0010000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Bulk-Select-Scanned,Fee for Select Data Scanned using Bulk tier,,,Bulk-Select-Scanned-Bytes,,,us-east-1,Amazon Glacier
MFYFY7VHET5GTVDG,JRTCKXETXF,MFYFY7VHET5GTVDG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.008 per GB - Standard Select Data Scanned Bytes,2021-12-01,0,Inf,GB,0.0080000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Standard-Select-Scanned,Fee for Select Data Scanned using Standard tier,,,Std-Select-Scanned-Bytes,,,us-east-1,Amazon Glacier
NBWZCXUY4QX6RSG6,JRTCKXETXF,NBWZCXUY4QX6RSG6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0036 per GB / month - Storage,2021-12-01,0,Inf,GB-Mo,0.0036000000,USD,Storage,AmazonGlacier,US East (N. Virginia),AWS Region,N/A,Amazon Glacier (Standard),,,,,TimedStorage-ByteHrs,,99.999999999%,us-east-1,Amazon Glacier
PHG6MUKRZRTAQR67,JRTCKXETXF,PHG6MUKRZRTAQR67.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0067 per GB - Retrieval Fee,2021-12-01,0,Inf,GB,0.0067000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-PeakRestore,Pro-rated fee for retrieving greater than 5% of data stored,,,Peak-Retrieval-Bytes-Delta,,,us-east-1,Amazon Glacier
QY634BY5A7KM6AGT,JRTCKXETXF,QY634BY5A7KM6AGT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per Expedited request,2021-12-01,0,Inf,Requests,0.0100000000,USD,API Request,AmazonGlacier,US East (N. Virginia),AWS Region,,,,,Glacier-Tier3,Expedited UPLOAD or RETRIEVAL requests,Requests-Tier3,,,us-east-1,Amazon Glacier
RR5B38YAAJRNMSTH,JRTCKXETXF,RR5B38YAAJRNMSTH.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per 1,000 - Bulk requests,2021-12-01,0,Inf,Requests,0.0000000000,USD,API Request,AmazonGlacier,US East (N. Virginia),AWS Region,,,,,Glacier-Tier2,Bulk UPLOAD or RETRIEVAL requests,Requests-Tier2,,,us-east-1,Amazon Glacier
S29JWAREEQ9N3VG2,JRTCKXETXF,S29JWAREEQ9N3VG2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per GB - Standard retrieval fee,2021-12-01,0,Inf,GB,0.0100000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Standard-Retrieval,Fee for Standard Retrieval of data stored,,,Standard-Retrieval-Bytes,,,us-east-1,Amazon Glacier
VUX4Q8XUDNRT83G2,JRTCKXETXF,VUX4Q8XUDNRT83G2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0036 per GB-month for Early Delete,2021-12-01,0,Inf,GB-Mo,0.0036000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-EarlyDelete,Pro-rated fee for deleting items prior to 90 days,,,EarlyDelete-ByteHrs,,,us-east-1,Amazon Glacier
WTZTBHJWK9C8AXTY,JRTCKXETXF,WTZTBHJWK9C8AXTY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.02 per GB - Expedited Select Data Scanned Bytes,2021-12-01,0,Inf,GB,0.0200000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Expedited-Select-Scanned,Fee for Select Data Scanned using Expedited tier,,,Exp-Select-Scanned-Bytes,,,us-east-1,Amazon Glacier
XJNJ5T2E77GA4WJR,JRTCKXETXF,XJNJ5T2E77GA4WJR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per GB - Expedited retrieval fee,2021-12-01,0,Inf,GB,0.0300000000,USD,Fee,AmazonGlacier,US East (N. Virginia),AWS Region,,,Glacier-Expedited-Retrieval,Fee for Expedited Retrieval of data stored,,,Expedited-Retrieval-Bytes,,,us-east-1,Amazon Glacier
Z9QR6FVBYAFGFFPN,JRTCKXETXF,Z9QR6FVBYAFGFFPN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per 1,000 Requests,2021-12-01,0,Inf,Requests,0.0000300000,USD,API Request,AmazonGlacier,US East (N. Virginia),AWS Region,,,,,Glacier-Tier1,UPLOAD and RETRIEVAL Requests,Requests-Tier1,,,us-east-1,Amazon Glacier
