SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Region Code,serviceName
2BPTVN8P7CM9UX7H,JRTCKXETXF,2BPTVN8P7CM9UX7H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0011,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0011,us-east-1,Amazon GuardDuty
2XBMPSJCF25PZJKV,JRTCKXETXF,2XBMPSJCF25PZJKV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed in US East (N. Virginia) region for Limitless instances,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Limitless Monitored - CreateDBInstance:0016,USE1-PaidRDSACULimitlessMonitored,CreateDBInstance:0016,us-east-1,Amazon GuardDuty
2XWRXT2KBKTGMZSC,JRTCKXETXF,2XWRXT2KBKTGMZSC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed in US East (N. Virginia) region for Limitless instances,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Limitless Monitored - CreateDBInstance:0021,USE1-PaidRDSACULimitlessMonitored,CreateDBInstance:0021,us-east-1,Amazon GuardDuty
3AKEDAQC4YJN2XXW,JRTCKXETXF,3AKEDAQC4YJN2XXW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS ACU Monitored - CreateDBInstance:0002,USE1-FreeRDSACUMonitored,CreateDBInstance:0002,us-east-1,Amazon GuardDuty
3QAAAXW46RDD3V64,JRTCKXETXF,3QAAAXW46RDD3V64.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per CloudTrail events analyzed (free trial) US East (N.Virginia) region,2025-05-01,0,Inf,Events,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free CloudTrail Events Processed,USE1-FreeEventsAnalyzed,,us-east-1,Amazon GuardDuty
3RQ79GT5K8HQUFN5,JRTCKXETXF,3RQ79GT5K8HQUFN5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0019,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0019,us-east-1,Amazon GuardDuty
3SH3P52F9FASEHAA,JRTCKXETXF,3SH3P52F9FASEHAA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0016,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0016,us-east-1,Amazon GuardDuty
44VQU5F3JGBTMP6P,JRTCKXETXF,44VQU5F3JGBTMP6P.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.25 per ACU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.2500000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS ACU Monitored - CreateDBInstance:0021,USE1-PaidRDSACUMonitored,CreateDBInstance:0021,us-east-1,Amazon GuardDuty
47X86VEEYE88FJUN,JRTCKXETXF,47X86VEEYE88FJUN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Kubernetes Audit Log Analyzed (free trial) in US East (N. Virginia),2025-05-01,0,Inf,Events,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free Kubernetes Audit Logs Events Processed,USE1-FreeKubernetesAuditLogsAnalyzed,,us-east-1,Amazon GuardDuty
4CFSE5KYC6VSTS45,JRTCKXETXF,4CFSE5KYC6VSTS45.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0006,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0006,us-east-1,Amazon GuardDuty
4GZ2WSWMPXBTMDZB,JRTCKXETXF,4GZ2WSWMPXBTMDZB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for FreeMalwareProtectionEBSDataScanned in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free Malware Protection EBS Data Scanned,USE1-FreeMalwareProtectionEBSDataScanned,,us-east-1,Amazon GuardDuty
4HDJWEYA32APVXHW,JRTCKXETXF,4HDJWEYA32APVXHW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance,USE1-FreeRDSvCPUMonitored,CreateDBInstance,us-east-1,Amazon GuardDuty
4M58XPUZ77R5SNY3,JRTCKXETXF,4M58XPUZ77R5SNY3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per ACU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,ACU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS ACU Monitored - CreateDBInstance:0006,USE1-FreeRDSACUMonitored,CreateDBInstance:0006,us-east-1,Amazon GuardDuty
4RAQN65QGX6R3SXF,JRTCKXETXF,4RAQN65QGX6R3SXF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0010,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0010,us-east-1,Amazon GuardDuty
4UBAWEYTVQNWQXV7,JRTCKXETXF,4UBAWEYTVQNWQXV7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0012,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0012,us-east-1,Amazon GuardDuty
57FYF4Q42YBMXK8B,JRTCKXETXF,57FYF4Q42YBMXK8B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0008,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0008,us-east-1,Amazon GuardDuty
5WEV62VK9GFZHAZK,JRTCKXETXF,5WEV62VK9GFZHAZK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1 per vCPU / month analyzed in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,1.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Paid RDS vCPU Monitored - CreateDBInstance:0015,USE1-PaidRDSvCPUMonitored,CreateDBInstance:0015,us-east-1,Amazon GuardDuty
5XW2NN5GH5TNRTGK,JRTCKXETXF,5XW2NN5GH5TNRTGK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per vCPU / month analyzed (free trial) in US East (N. Virginia) region,2025-05-01,0,Inf,vCPU-Months,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Free RDS vCPU Monitored - CreateDBInstance:0021,USE1-FreeRDSvCPUMonitored,CreateDBInstance:0021,us-east-1,Amazon GuardDuty
67K3RUGE6GR924SC,JRTCKXETXF,67K3RUGE6GR924SC.JRTCKXETXF.8EEUB22XNJ,OnDemand,$0.00 per GB - for the first 1GB for Malware Protection S3 Data Scanned in US East (N. Virginia),2025-05-01,0,1,GB,0.0000000000,USD,GuardDuty,AmazonGuardDuty,US East (N. Virginia),AWS Region,Security Services - Amazon GuardDuty Malware Protection S3 Data Scanned,USE1-MalwareProtectionS3DataScanned,,us-east-1,Amazon GuardDuty
