SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,usageType,operation,Free Usage included,Region Code,Scan Type,serviceName,Usage volume
38UG2W4D83TS8QV9,JRTCKXETXF,38UG2W4D83TS8QV9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Resource-assessment for ECR-free-metering in US East (N. Virginia),2024-02-01,0,Inf,Resource-assessment,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Container Image scanning includes an initial scan when an image is pushed to the ECR or an automated re-scan or an ad-hoc image scan,US East (N. Virginia),AWS Region,USE1-ECR-free-metering,,Free-metering,us-east-1,free-metering,Amazon Inspector,
5K5J87YSQ6GQYK6B,JRTCKXETXF,5K5J87YSQ6GQYK6B.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Hourly for Lambda-Code-free-metering in US East (N. Virginia),2024-02-01,0,Inf,Hourly,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Lambda Code scanning includes continuous scanning of Lambda functions for code vulnerabilities,US East (N. Virginia),AWS Region,USE1-Lambda-Code-free-metering,,Free-metering,us-east-1,Code Scanning,Amazon Inspector,
5NQFU67M2H7CRKT2,JRTCKXETXF,5NQFU67M2H7CRKT2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per container image assessment in CI/CD in US East (N. Virginia),2024-02-01,0,Inf,resource assessment,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Container image assessment in Continuous Integration/ Continuous Deployment (CI/CD) pipelines,US East (N. Virginia),AWS Region,USE1-CICD-container-image-assessment-free,,Free,us-east-1,CI/CD scan,Amazon Inspector,
BBYRC4BZRVQNAVBJ,JRTCKXETXF,BBYRC4BZRVQNAVBJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Hourly for Lambda-Code-Scanning-free-trial in US East (N. Virginia),2024-02-01,0,Inf,Hourly,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Lambda Code scanning includes continuous scanning of Lambda functions for code vulnerabilities,US East (N. Virginia),AWS Region,USE1-Lambda-Code-Scanning-free-trial,,15-Days unlimited free trial,us-east-1,Code Scanning,Amazon Inspector,
DP7EQJY5YTZJAGG8,JRTCKXETXF,DP7EQJY5YTZJAGG8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Hourly for Lambda-Standard-Scanning-free-trial in US East (N. Virginia),2024-02-01,0,Inf,Hourly,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Lambda standard scanning includes continuous vulnerability scanning of Lambda functions and associated dependencies,US East (N. Virginia),AWS Region,USE1-Lambda-Standard-Scanning-free-trial,,15-Days unlimited free trial,us-east-1,Standard Scanning,Amazon Inspector,
F2ZYE2C6NZY8TR57,JRTCKXETXF,F2ZYE2C6NZY8TR57.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000417 per Hourly for Lambda-Standard-Scanning in US East (N. Virginia),2024-02-01,0,Inf,Hourly,0.0004170000,USD,Amazon Inspector,AmazonInspectorV2,Lambda standard scanning includes continuous vulnerability scanning of Lambda functions and associated dependencies,US East (N. Virginia),AWS Region,USE1-Lambda-Standard-Scanning,,None,us-east-1,Standard Scanning,Amazon Inspector,
FCW6KDAPFE9PJH5T,JRTCKXETXF,FCW6KDAPFE9PJH5T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Hourly for Lambda-Standard-free-metering in US East (N. Virginia),2024-02-01,0,Inf,Hourly,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Lambda standard scanning includes continuous vulnerability scanning of Lambda functions and associated dependencies,US East (N. Virginia),AWS Region,USE1-Lambda-Standard-free-metering,,Free-metering,us-east-1,free-metering,Amazon Inspector,
G9G7KPAMSWEQPFST,JRTCKXETXF,G9G7KPAMSWEQPFST.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00174 per Instance-hrs for EC2-Scanning in US East (N. Virginia),2024-02-01,0,Inf,Instance-hrs,0.0017400000,USD,Amazon Inspector,AmazonInspectorV2,EC2 Scanning including continuous vulnerability and network reachability checks,US East (N. Virginia),AWS Region,USE1-EC2-Scanning,,None,us-east-1,,Amazon Inspector,Continuous EC2 scans
GTBTEXY3VEDAVKX2,JRTCKXETXF,GTBTEXY3VEDAVKX2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Instance-hrs for EC2-Scanning-agentless in US East (N. Virginia),2024-02-01,0,Inf,Instance-hrs,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,EC2 Scanning including continuous vulnerability and network reachability checks,US East (N. Virginia),AWS Region,USE1-EC2-Scanning-agentless-free-trial,,15-Days unlimited free trial,us-east-1,,Amazon Inspector,Agentless vulnerability scans
J774X6ZTCC5HKR4X,JRTCKXETXF,J774X6ZTCC5HKR4X.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per Resource-assessment for container-image-initial-scan-free-trial in US East (N. Virginia),2024-02-01,0,Inf,Resource-assessment,0.0000000000,USD,Amazon Inspector,AmazonInspectorV2,Container Image scanning includes an initial scan when an image is pushed to the ECR or an automated re-scan or an ad-hoc image scan,US East (N. Virginia),AWS Region,USE1-container-image-initial-scan-free-trial,,15-Days unlimited free trial,us-east-1,Initial Scan (on-push to ECR),Amazon Inspector,
