SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,Group Description,usageType,operation,Region Code,serviceName
5YPU67CVH27EYQ4J,JRTCKXETXF,5YPU67CVH27EYQ4J.JRTCKXETXF.6YS6EN2CT7,OnDemand,Kendra GenAI Enterprise BaseCapacity paid tier usage in US East (N. Virginia),2025-03-01,0,Inf,hours,0.3200000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-GenAI-Enterprise-Capacity,Kendra GenAI Enterprise Base Capacity,USE1-Kendra-GenAI-Ent-Base-Capacity,Kendra-GenAI-Ent-Base-Capacity,us-east-1,Amazon Kendra
6ENMMB4KRPAZVYZ2,JRTCKXETXF,6ENMMB4KRPAZVYZ2.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Enterprise Edition - $1.4 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,1.4000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Enterprise-Capacity,Kendra Enterprise Base Query/Storage Capacity,USE1-Kendra-Enterprise-Edition,Kendra-Enterprise-Edition,us-east-1,Amazon Kendra
9FQP6WJVBSMH9TCY,JRTCKXETXF,9FQP6WJVBSMH9TCY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Kendra GenAI Enterprise Additional Storage Capacity in US East (N. Virginia),2025-03-01,0,Inf,hours,0.2500000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-GenAI-Enterprise-Capacity,Kendra GenAI Enterprise Additional Storage Capacity,USE1-Kendra-GenAI-Ent-Addl-StorageCap,Kendra-GenAI-Ent-Addl-StorageCap,us-east-1,Amazon Kendra
A6MZ7RU5XYQ7UTUY,JRTCKXETXF,A6MZ7RU5XYQ7UTUY.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra documents scanned - $0.000001 per document in US East (N. Virginia),2025-03-01,0,Inf,Count,0.0000010000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Connector-Documents-Scanned,Kendra Pay Per Document Scanned Unit,USE1-DocumentsScanned,DocumentsScanned,us-east-1,Amazon Kendra
ABJG8M3NN4Y57WYH,JRTCKXETXF,ABJG8M3NN4Y57WYH.JRTCKXETXF.6YS6EN2CT7,OnDemand,Kendra connector monthly fee in US East (N. Virginia),2025-03-01,0,Inf,Count,30.0000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Connector-Monthly,Kendra connector monthly fee,USE1-Kendra-Connector-MonthlyFee,Kendra-Connector-MonthlyFee,us-east-1,Amazon Kendra
AE2HZ4E859YYCANQ,JRTCKXETXF,AE2HZ4E859YYCANQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,KendraIntelligentRanking Additional BaseCapacity - $0.14 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,0.1400000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Intelligent-Ranking,Kendra Intelligent Ranking Base Capacity,USE1-KendraIntelligentRanking-BaseCapacity,BaseCapacity,us-east-1,Amazon Kendra
AH5FUDDJK3WM7KU3,JRTCKXETXF,AH5FUDDJK3WM7KU3.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra connector run time - $0.35 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,0.3500000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Connector-Compute,Kendra Pay Per Hour Connector Compute,USE1-ConnectorSync,ConnectorSync,us-east-1,Amazon Kendra
B8Q8MAYNCJWTDMVH,JRTCKXETXF,B8Q8MAYNCJWTDMVH.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Additional Storage Capacity Unit - $3.50 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,3.5000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Enterprise-Additional-Capacity,Kendra Enterprise Additional Query/Storage Capacity,USE1-KendraStorageCapacityUnit,KendraStorageCapacityUnit,us-east-1,Amazon Kendra
CS27MNND38D9M3MA,JRTCKXETXF,CS27MNND38D9M3MA.JRTCKXETXF.6YS6EN2CT7,OnDemand,Kendra GenAI Enterprise Additional Query Capacity in US East (N. Virginia),2025-03-01,0,Inf,hours,0.0700000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-GenAI-Enterprise-Capacity,Kendra GenAI Enterprise Additional Query Capacity,USE1-Kendra-GenAI-Ent-Addl-QueryCap,Kendra-GenAI-Ent-Addl-QueryCap,us-east-1,Amazon Kendra
GP4AS824V32A3HRZ,JRTCKXETXF,GP4AS824V32A3HRZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Enterprise Edition - $7 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,7.0000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Enterprise-Capacity,Kendra Pay Per Query/Storage Capacity Units,USE1-KendraEnterpriseEdition,KendraEnterpriseEdition,us-east-1,Amazon Kendra
H77HS2AKERCZAQMF,JRTCKXETXF,H77HS2AKERCZAQMF.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Additional Query Capacity Unit - $3.50 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,3.5000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Enterprise-Additional-Capacity,Kendra Pay Per Query/Storage Capacity Units,USE1-KendraQueryCapacityUnit,KendraQueryCapacityUnit,us-east-1,Amazon Kendra
K5653V4WT7N6EYUR,JRTCKXETXF,K5653V4WT7N6EYUR.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Additional Query Capacity Unit - $0.70 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,0.7000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Enterprise-Capacity,Kendra Enterprise Additional Query/Storage Capacity,USE1-Kendra-Query-Capacity-Unit,Kendra-Query-Capacity-Unit,us-east-1,Amazon Kendra
NSTMQK2AFGH9HENZ,JRTCKXETXF,NSTMQK2AFGH9HENZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Developer Edition - $1.125 per hour in  US East (N. Virginia),2025-03-01,0,Inf,hours,1.1250000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Developer-Capacity,Kendra Developer Base Query/Storage Capacity,USE1-KendraDeveloperEdition,KendraDeveloperEdition,us-east-1,Amazon Kendra
RW4R43K6VWQVDB98,JRTCKXETXF,RW4R43K6VWQVDB98.JRTCKXETXF.6YS6EN2CT7,OnDemand,Amazon Kendra Additional Storage Capacity Unit - $0.7 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,0.7000000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Enterprise-Capacity,Kendra Enterprise Additional Storage Capacity,USE1-Kendra-Storage-Capacity-Unit,Kendra-Storage-Capacity-Unit,us-east-1,Amazon Kendra
SU544C8PK7E2CV6F,JRTCKXETXF,SU544C8PK7E2CV6F.JRTCKXETXF.6YS6EN2CT7,OnDemand,KendraIntelligentRanking Additional CapacityUnits - $0.0035 per hour in US East (N. Virginia),2025-03-01,0,Inf,hours,0.0035000000,USD,Machine Learning,AmazonKendra,US East (N. Virginia),AWS Region,Kendra-Intelligent-Ranking,Kendra Intelligent Ranking Capacity Units,USE1-KendraIntelligentRanking-CapacityUnits,CapacityUnits,us-east-1,Amazon Kendra
