SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,Group,usageType,operation,ReadType,Region Code,serviceName
275MYCAMKU3J44D9,JRTCKXETXF,275MYCAMKU3J44D9.JRTCKXETXF.6YS6EN2CT7,OnDemand,Per minute of media stream recorded into Kinesis Video Streams via WebRTC,2024-06-01,0,Inf,Minute,0.0034000000,USD,Kinesis Video,AmazonKinesisVideo,Per minute of media stream recorded into Kinesis Video Streams via WebRTC,US East (N. Virginia),AWS Region,WebRTC Streaming minutes for Storage,USE1-WebRTCRecording,,,us-east-1,Amazon Kinesis Video Streams
28JSEGSRHJV77EGM,JRTCKXETXF,28JSEGSRHJV77EGM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0085 Per GB of data read from Kinesis Video Streams,2024-06-01,0,Inf,GB,0.0085000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB of data read from Kinesis Video Streams,US East (N. Virginia),AWS Region,Data Consumption,USE1-BytesOut,GetMediaforFragmentList,Fragment based,us-east-1,Amazon Kinesis Video Streams
2D6XRW82K66GU286,JRTCKXETXF,2D6XRW82K66GU286.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per month for an active signaling channel,2024-06-01,0,Inf,Count,0.0300000000,USD,Kinesis Video,AmazonKinesisVideo,Per month for an active signaling channel,US East (N. Virginia),AWS Region,Active Signaling Channel,USE1-SignalingChannel,,,us-east-1,Amazon Kinesis Video Streams
3T9WX6UZH7C67JHE,JRTCKXETXF,3T9WX6UZH7C67JHE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0119 Per GB of data read from Kinesis Video Streams for HLS,2024-06-01,0,Inf,GB,0.0119000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB of data read from Kinesis Video Streams for HLS  or MPEG-DASH,US East (N. Virginia),AWS Region,Data Consumption,USE1-BytesOut,GetMP4MediaFragment,Streaming,us-east-1,Amazon Kinesis Video Streams
45ZVYHPZT3MMMU95,JRTCKXETXF,45ZVYHPZT3MMMU95.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.023 Per GB-Month of data stored in Kinesis Video Streams,2024-06-01,0,Inf,GB-Month,0.0230000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB-Month of data stored in Kinesis Video Streams,US East (N. Virginia),AWS Region,Data Storage,USE1-BytesHr,PutMedia,,us-east-1,Amazon Kinesis Video Streams
9KB2FX5K5DQ75DHA,JRTCKXETXF,9KB2FX5K5DQ75DHA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0119 Per GB of data read from Kinesis Video Streams for HLS,2024-06-01,0,Inf,GB,0.0119000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB of data read from Kinesis Video Streams for HLS  or MPEG-DASH,US East (N. Virginia),AWS Region,Data Consumption,USE1-BytesOut,GetTSFragment,Fragment based,us-east-1,Amazon Kinesis Video Streams
CWKVC4GTX2UFWM8J,JRTCKXETXF,CWKVC4GTX2UFWM8J.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.25 per million signaling messages,2024-06-01,0,Inf,Messages,0.0000022500,USD,Kinesis Video,AmazonKinesisVideo,Per million signaling messages,US East (N. Virginia),AWS Region,Signaling Messages,USE1-SignalingMessages,,,us-east-1,Amazon Kinesis Video Streams
F9GXMSVRZZJ8Q5YG,JRTCKXETXF,F9GXMSVRZZJ8Q5YG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000018 Per million images generated - getImages (greater than 1080p resolution),2024-06-01,0,Inf,Images Processed,0.0000180000,USD,Kinesis Video,AmazonKinesisVideo,Per million images generated - getImages (greater than 1080p resolution),US East (N. Virginia),AWS Region,Images Generated,USE1-HighRes-ImagesCount,GetImages,,us-east-1,Amazon Kinesis Video Streams
JAY5MU5U5Y9CYYAR,JRTCKXETXF,JAY5MU5U5Y9CYYAR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0119 per GB for BytesOut:GetClip in US East (N. Virginia),2024-06-01,0,Inf,GB,0.0119000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB of data read from Kinesis Video Streams for HLS,US East (N. Virginia),AWS Region,Data Consumption,USE1-BytesOut,GetClip,Fragment based,us-east-1,Amazon Kinesis Video Streams
N5443J59MTJSMGXN,JRTCKXETXF,N5443J59MTJSMGXN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.12 per 1000 TURN streaming minutes,2024-06-01,0,Inf,minutes,0.0001200000,USD,Kinesis Video,AmazonKinesisVideo,Per thousand TURN streaming minutes,US East (N. Virginia),AWS Region,TURN Streaming Minutes,USE1-TURNMinutes,,,us-east-1,Amazon Kinesis Video Streams
RM29Y377B8TAW8FQ,JRTCKXETXF,RM29Y377B8TAW8FQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00001 Per million images generated - S3 Delivery (1080p or lower resolution),2024-06-01,0,Inf,Images Processed,0.0000100000,USD,Kinesis Video,AmazonKinesisVideo,Per million images generated - S3 Delivery (1080p or lower resolution),US East (N. Virginia),AWS Region,Images Generated,USE1-LowRes-ImagesCount,S3ImageGeneration,,us-east-1,Amazon Kinesis Video Streams
S994JVRH7PWUP27Y,JRTCKXETXF,S994JVRH7PWUP27Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0085 Per GB of data ingested into Kinesis Video Streams,2024-06-01,0,Inf,GB,0.0085000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB of data ingested into Kinesis Video Streams,US East (N. Virginia),AWS Region,Data Ingestion,USE1-BytesIn,PutMedia,,us-east-1,Amazon Kinesis Video Streams
UBUQ3MPM98ZVBR3N,JRTCKXETXF,UBUQ3MPM98ZVBR3N.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0085 Per GB of data read from Kinesis Video Streams,2024-06-01,0,Inf,GB,0.0085000000,USD,Kinesis Video,AmazonKinesisVideo,Per GB of data read from Kinesis Video Streams,US East (N. Virginia),AWS Region,Data Consumption,USE1-BytesOut,GetMedia,Streaming,us-east-1,Amazon Kinesis Video Streams
XNTVWJ2S7NHGKTST,JRTCKXETXF,XNTVWJ2S7NHGKTST.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00001 Per million images generated - getImages (1080p or lower resolution),2024-06-01,0,Inf,Images Processed,0.0000100000,USD,Kinesis Video,AmazonKinesisVideo,Per million images generated - getImages (1080p or lower resolution),US East (N. Virginia),AWS Region,Images Generated,USE1-LowRes-ImagesCount,GetImages,,us-east-1,Amazon Kinesis Video Streams
