SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,vCPU,Memory,Storage,Operating System,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Counts Against Quota,Data Transfer Quota,Engine,Free Overage,From Region Code,High Availability,IsFree,Overage Type,Power,Region Code,serviceName,Storage Capacity Quota,To Region Code
29UZTPASJG8682GC,JRTCKXETXF,29UZTPASJG8682GC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.50 / CDN Bundle: 50GB,2025-04-01,0,Inf,Bundles,2.5000000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail CDN,Lightsail CDN bundle subscription fee,,,,,,CDN-BundleUsage:50GB,CDN-Bundle:50GB,,50GB,,,,,,,,us-east-1,Amazon Lightsail,,
29Z36NQUQNYU9UDZ,JRTCKXETXF,29Z36NQUQNYU9UDZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01612 / Hour of 1GB IPv6 bundle Instance  (Windows) ,2025-04-01,0,Inf,Hrs,0.0161200000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,1GB,40GB,Windows,Lightsail Instance,Number of IPv6-only Lightsail Instance hours,,,,,,USE1-BundleUsage:1GB_win_IPv6,Bundle:1GB_IPv6,,2TB,,,,,,,,us-east-1,Amazon Lightsail,,
2SJ62RNSVC3VSCJ4,JRTCKXETXF,2SJ62RNSVC3VSCJ4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0806 / Hour of 2GB High Availability Database bundle,2025-04-01,0,Inf,Hrs,0.0806500000,USD,Lightsail Database,AmazonLightsail,US East (N. Virginia),AWS Region,1,2GB,80GB,,Lightsail Database,Number of Lightsail Database hours,,,,,,USE1-DatabaseUsage:2GB_ha,RelationalDatabase,,0.1TB,MySQL/PostgreSQL,,,Yes,,,,us-east-1,Amazon Lightsail,,
2URYYRKY4RXKN5E7,JRTCKXETXF,2URYYRKY4RXKN5E7.JRTCKXETXF.TS6XV2ENSN,OnDemand,$0.00 / Million queries for the first 3 Million queries,2025-04-01,0,3000000,Queries,0.0000000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,DNS-Queries,,,,,,,,,DNS Queries,,us-east-1,Amazon Lightsail,,
2URYYRKY4RXKN5E7,JRTCKXETXF,2URYYRKY4RXKN5E7.JRTCKXETXF.WTA2GPDJU3,OnDemand,$0.40 / Million queries over 3 Million queries,2025-04-01,3000000,Inf,Queries,0.0000004000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,DNS-Queries,,,,,,,,,DNS Queries,,us-east-1,Amazon Lightsail,,
3W369V5X7BZYSC8R,JRTCKXETXF,3W369V5X7BZYSC8R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$35.00 / CDN Bundle: 500GB,2025-04-01,0,Inf,Bundles,35.0000000000,USD,Lightsail Networking,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail CDN,Lightsail CDN bundle subscription fee,,,,,,CDN-BundleUsage:500GB,CDN-Bundle:500GB,,500GB,,,,,,,,us-east-1,Amazon Lightsail,,
4G4M8ZBRKVF22GR5,JRTCKXETXF,4G4M8ZBRKVF22GR5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05913 / Hour of 4GB bundle Instance including public IPv4 address  (Windows),2025-04-01,0,Inf,Hrs,0.0591300000,USD,Lightsail Instance,AmazonLightsail,US East (N. Virginia),AWS Region,2,4GB,80GB,Windows,Lightsail Instance,Number of Lightsail Instance hours,,,,,,USE1-BundleUsage:4GB_win,Bundle:4GB,,4TB,,,,,,,,us-east-1,Amazon Lightsail,,
4JE6DJUD3JCPKEX6,JRTCKXETXF,4JE6DJUD3JCPKEX6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB Storage Capacity in US East (N. Virginia) bundle quota (250GB Bundle),2025-04-01,0,Inf,GB-Mo,0.0000000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,USE1-Storage:250GB-TotalStorage-Bytes,Storage250GB-Storage-Capacity,Yes,,,Yes,,,,Storage:250GB Storage Capacity,,us-east-1,Amazon Lightsail,,
4SAJ6WVRUBHFC47T,JRTCKXETXF,4SAJ6WVRUBHFC47T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.023 per GB Storage Capacity in US East (N. Virginia) above bundle quota (100GB Bundle),2025-04-01,0,Inf,GB-Mo,0.0230000000,USD,Lightsail Storage,AmazonLightsail,US East (N. Virginia),AWS Region,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,,,,,,USE1-Storage:100GB-StorageOverage-Bytes,Storage100GB-Storage-Overage,Yes,,,No,,,,Storage:100GB Storage Capacity,,us-east-1,Amazon Lightsail,,
5BTGUEBZ6G89S887,JRTCKXETXF,5BTGUEBZ6G89S887.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 / GB total data transfer-out of US East (N. Virginia) bundle quota,2025-04-01,0,Inf,GB,0.0000000000,USD,Lightsail Networking,AmazonLightsail,,,,,,,Lightsail Overages,Lightsail overages - usage above allocated free quota,AWS Outbound,US East (N. Virginia),AWS Region,Global,Other,USE1-Storage:500GB-TotalDataXfer-Out-Bytes,Storage500GB-DataXferOut,Yes,,,NA,us-east-1,,,Storage:500GB Data Transfer,,,Amazon Lightsail,,
