SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,PricingPlan,Provider,Region Code,serviceName,Sub-service,Type
3XW4U62F447UGZEU,JRTCKXETXF,3XW4U62F447UGZEU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.20 per thousand Suggest request (Label) in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0002000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Label,Suggest,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,Suggest request (Label)
4BQDD9YDNVZKG8TX,JRTCKXETXF,4BQDD9YDNVZKG8TX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand Snap to Road request (Premium) in US East (N. Virginia),2024-12-01,0,Inf,Route,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Routes-Premium,SnapToRoads,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Routing,Snap to Road request (Premium)
4E4EJZXHSVMJJCDX,JRTCKXETXF,4E4EJZXHSVMJJCDX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand addresses geocoded (results stored) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-StoredGeocode,,None,None,us-east-1,Amazon Location Service,Places,Addresses geocoded (stored results)
4ZTPRG52M9RPVHHC,JRTCKXETXF,4ZTPRG52M9RPVHHC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per thousand resource create,read,update,or delete requests in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0000100000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-ResourceCreateReadUpdateDelete,,None,None,us-east-1,Amazon Location Service,Service Resources,Resources created,read,updated,or deleted
53XMUYJHJ9THPR9Z,JRTCKXETXF,53XMUYJHJ9THPR9Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$15.00 per device for Mobile Asset Management using HERE in US East (N. Virginia),2024-12-01,0,Inf,Devices,15.0000000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-MAM-Here-Assets,,MobileAssetManagement,HERE,us-east-1,Amazon Location Service,All,Asset per provider per month
5CXA93P42TSDNXCB,JRTCKXETXF,5CXA93P42TSDNXCB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand addresses geocoded (results stored) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Here-StoredGeocode,,RequestBasedUsage,HERE,us-east-1,Amazon Location Service,Places,Addresses geocoded (stored results)
6S7KNDG2YSYWX2JD,JRTCKXETXF,6S7KNDG2YSYWX2JD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand GetPlace request (Core) in US East (N. Virginia),2024-12-01,0,Inf,Address,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Default-Places-Core,GetPlace,RequestBasedUsage,Default,us-east-1,Amazon Location Service,Places,GetPlace request (Core)
6UE97T3MZ36DEVN5,JRTCKXETXF,6UE97T3MZ36DEVN5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per thousand PositionRead requests in US East (N. Virginia),2024-12-01,0,Inf,API Request,0.0000500000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-PositionRead,,None,None,us-east-1,Amazon Location Service,Tracking,Position read requests
7WRRUX9UVY7947QA,JRTCKXETXF,7WRRUX9UVY7947QA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.00 per thousand positions reverse geocoded (results stored) in US East (N. Virginia),2024-12-01,0,Inf,Position,0.0040000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-Usage-Here-StoredReverseGeocode,,RequestBasedUsage,HERE,us-east-1,Amazon Location Service,Places,Positions reverse-geocoded (stored results)
88W69NBUSHEB72U9,JRTCKXETXF,88W69NBUSHEB72U9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.50 per thousand positions reverse geocoded in US East (N. Virginia),2024-12-01,0,Inf,Position,0.0005000000,USD,AmazonLocationService,AmazonLocationService,US East (N. Virginia),AWS Region,USE1-ReverseGeocode,,None,None,us-east-1,Amazon Location Service,Places,Positions reverse-geocoded
