SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,vCPU,Clock Speed,Memory,Network Performance,Storage Class,Provisioned,License Model,Deployment Option,usageType,operation,Broker Engine,Enhanced Networking Support,Normalization Size Factor,Region Code,serviceName
2K5GNB8FJPYHHRA7,JRTCKXETXF,2K5GNB8FJPYHHRA7.JRTCKXETXF.6YS6EN2CT7,OnDemand,Durability optimized storage (Amazon EFS) used by ActiveMQ brokers (GB-months) in US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.3000000000,USD,6XF7Q6MG9JHKJRMK,Broker Storage,AmazonMQ,US East (N. Virginia),AWS Region,,,,,General Purpose,No,,Multi-AZ,USE1-TimedStorage-ByteHrs,,,,,us-east-1,Amazon MQ
38NG9A2WG67YRFK2,JRTCKXETXF,38NG9A2WG67YRFK2.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.xlarge hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.5760000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,4,2.5 GHz,16 GiB,High,,,No license required,Single-AZ,USE1-RabbitMQ-Single-InstanceUsage:mq.m5.xlarge,CreateBroker:0001,RabbitMQ,Yes,8,us-east-1,Amazon MQ
39RWQTAQQ5JE9M9Z,JRTCKXETXF,39RWQTAQQ5JE9M9Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,Throughput optimized storage (Amazon EBS) used by ActiveMQ brokers (GB-months) in US East (N. Virginia),2025-04-01,0,Inf,GB-Mo,0.1000000000,USD,,Broker Storage,AmazonMQ,US East (N. Virginia),AWS Region,,,,,General Purpose,No,,Single-AZ,USE1-TimedStorage-EBS-ByteHrs,,,,,us-east-1,Amazon MQ
3WNKCESJDDFNJZKS,JRTCKXETXF,3WNKCESJDDFNJZKS.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.m5.xlarge hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,1.1520000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,4,2.5 GHz,16 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.xlarge,CreateBroker:0001,ActiveMQ,Yes,8,us-east-1,Amazon MQ
4PT2KSU5E8ZZAF73,JRTCKXETXF,4PT2KSU5E8ZZAF73.JRTCKXETXF.6YS6EN2CT7,OnDemand,Cross-region data replication for ActiveMQ broker mq.m5.large hour (or partial hour) in US East (N.Virginia),2025-04-01,0,Inf,Hrs,0.1000000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.5 GHz,8 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.large,ActiveMQ-CRDR,ActiveMQ,Yes,4,us-east-1,Amazon MQ
5CPKVNDENM6Q6SYN,JRTCKXETXF,5CPKVNDENM6Q6SYN.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.xlarge hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.5760000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,4,2.5 GHz,16 GiB,High,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.m5.xlarge,CreateBroker:0001,ActiveMQ,Yes,8,us-east-1,Amazon MQ
6XF7Q6MG9JHKJRMK,A429C66SYZ,6XF7Q6MG9JHKJRMK.A429C66SYZ.V7GB4D473V,OnDemand,5GB of included durability-optimized storage (Amazon EFS) per month,2025-04-01,0,5,GB-Mo,0.0000000000,USD,,Broker Storage,AmazonMQ,Any,AWS Region,,,,,General Purpose,No,,Multi-AZ,Global-MQ:StorageUsage,,,,,,Amazon MQ
7H7TFJRUGF97HEQF,JRTCKXETXF,7H7TFJRUGF97HEQF.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.t3.micro hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0270400000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,NA,1 GiB,up to 5 Gigabit,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.t3.micro,CreateBroker:0001,ActiveMQ,Yes,0.5,us-east-1,Amazon MQ
8UMAND748UFQ36NA,JRTCKXETXF,8UMAND748UFQ36NA.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.large hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.2880000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.5 GHz,8 GiB,High,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.m5.large,CreateBroker:0001,ActiveMQ,Yes,4,us-east-1,Amazon MQ
8XW5JNQ5H8PYKWVJ,JRTCKXETXF,8XW5JNQ5H8PYKWVJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.m4.large hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.6000000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.4 GHz,8 GiB,Moderate,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m4.large,CreateBroker:0001,ActiveMQ,Yes,4,us-east-1,Amazon MQ
AKC8YRGMHXEHZ83Y,JRTCKXETXF,AKC8YRGMHXEHZ83Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.t2.micro hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0300000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,1,NA,1 GiB,Moderate,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.t2.micro,CreateBroker:0001,ActiveMQ,No,0.5,us-east-1,Amazon MQ
DAMG5K3AU2AQCJZ5,JRTCKXETXF,DAMG5K3AU2AQCJZ5.JRTCKXETXF.6YS6EN2CT7,OnDemand,3-node cluster mq.m5.4xlarge hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,6.9120000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,16,2.5 GHz,64 GiB,High,,,No license required,Multi-AZ,USE1-RabbitMQ-3-InstanceUsage:mq.m5.4xl,CreateBroker:0001,RabbitMQ,Yes,96,us-east-1,Amazon MQ
DCRMEFEB7V29BET8,JRTCKXETXF,DCRMEFEB7V29BET8.JRTCKXETXF.6YS6EN2CT7,OnDemand,Cross-region data replication for ActiveMQ broker mq.m5.4xl hour (or partial hour) in US East (N.Virginia),2025-04-01,0,Inf,Hrs,0.1000000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,16,2.5 GHz,64 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.4xl,ActiveMQ-CRDR,ActiveMQ,Yes,32,us-east-1,Amazon MQ
ETTAP754AMF3HGZC,JRTCKXETXF,ETTAP754AMF3HGZC.JRTCKXETXF.6YS6EN2CT7,OnDemand,3-node cluster mq.m5.large hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.8640000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.5 GHz,8 GiB,High,,,No license required,Multi-AZ,USE1-RabbitMQ-3-InstanceUsage:mq.m5.large,CreateBroker:0001,RabbitMQ,Yes,12,us-east-1,Amazon MQ
K5RPZZDRCVNNZ98K,JRTCKXETXF,K5RPZZDRCVNNZ98K.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m4.large hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.3000000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.4 GHz,8 GiB,Moderate,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.m4.large,CreateBroker:0001,ActiveMQ,Yes,4,us-east-1,Amazon MQ
KHWECZGM9556B64K,JRTCKXETXF,KHWECZGM9556B64K.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.2xlarge hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,1.1520000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,8,2.5 GHz,32 GiB,High,,,No license required,Single-AZ,USE1-RabbitMQ-Single-InstanceUsage:mq.m5.2xl,CreateBroker:0001,RabbitMQ,Yes,16,us-east-1,Amazon MQ
KX9X6UGQCQQK32N5,JRTCKXETXF,KX9X6UGQCQQK32N5.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.4xlarge hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,2.3040000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,16,2.5 GHz,64 GiB,High,,,No license required,Single-AZ,USE1-RabbitMQ-Single-InstanceUsage:mq.m5.4xl,CreateBroker:0001,RabbitMQ,Yes,32,us-east-1,Amazon MQ
ME7QKN5DXTTWDZVR,JRTCKXETXF,ME7QKN5DXTTWDZVR.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.2xlarge hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,1.1520000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,8,2.5 GHz,32 GiB,High,,,No license required,Single-AZ,USE1-Single-AZUsage:mq.m5.2xl,CreateBroker:0001,ActiveMQ,Yes,16,us-east-1,Amazon MQ
PBKPSD29AMDTPYPJ,JRTCKXETXF,PBKPSD29AMDTPYPJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,single-instance mq.m5.large hour (or partial hour) running RabbitMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.2880000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,2,2.5 GHz,8 GiB,High,,,No license required,Single-AZ,USE1-RabbitMQ-Single-InstanceUsage:mq.m5.large,CreateBroker:0001,RabbitMQ,Yes,4,us-east-1,Amazon MQ
PR8PE5ENBBB69FH8,JRTCKXETXF,PR8PE5ENBBB69FH8.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.m5.4xlarge hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,4.6080000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,16,2.5 GHz,64 GiB,High,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.m5.4xl,CreateBroker:0001,ActiveMQ,Yes,32,us-east-1,Amazon MQ
QD5RWQPY9J5K3CQW,JRTCKXETXF,QD5RWQPY9J5K3CQW.JRTCKXETXF.6YS6EN2CT7,OnDemand,active-standby mq.t2.micro hour (or partial hour) running ActiveMQ in US East (N. Virginia),2025-04-01,0,Inf,Hrs,0.0600000000,USD,,Broker Instances,AmazonMQ,US East (N. Virginia),AWS Region,1,NA,1 GiB,Moderate,,,No license required,Multi-AZ,USE1-Multi-AZUsage:mq.t2.micro,CreateBroker:0001,ActiveMQ,No,0.5,us-east-1,Amazon MQ
