SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,vCPU,Group,usageType,operation,Compute Family,Memory (GiB),Region Code,serviceName,Storage Family
2KDEMUGWHBW5Q9QU,JRTCKXETXF,2KDEMUGWHBW5Q9QU.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.006 per GB data processed for private connectivity in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0060000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Bytes Processed,US East (N. Virginia),AWS Region,,Connectivity,USE1-Kafka.PrivateConnectivity.BytesProcessed,PrivateConnectivity,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
35H7TGY3P6N3R7HC,JRTCKXETXF,35H7TGY3P6N3R7HC.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 13.056 per Express.m7g.16xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,13.0560000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,64,ExpressBroker,USE1-Express.m7g.16xlarge,RunBroker,express.m7g.16xlarge,256,us-east-1,Amazon Managed Streaming for Apache Kafka,
3WWQAXWQEYF3K28K,JRTCKXETXF,3WWQAXWQEYF3K28K.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.10 per GB data in for serverless cluster in US East (N.Virginia),2025-05-01,0,Inf,GB,0.1000000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Per-GB data ingressed,US East (N. Virginia),AWS Region,,Serverless,USE1-KafkaServerless-In-Bytes,Serverless,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
4TWECYAMUUGT7JBZ,JRTCKXETXF,4TWECYAMUUGT7JBZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.42 per Kafka.m5.xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,0.4200000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,4,Broker,USE1-Kafka.m5.xlarge,RunBroker,m5.xlarge,16,us-east-1,Amazon Managed Streaming for Apache Kafka,
59HBRTXVJJUW6ATD,JRTCKXETXF,59HBRTXVJJUW6ATD.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 3.36 per Kafka.m5.8xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,3.3600000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,32,Broker,USE1-Kafka.m5.8xlarge,RunBroker,m5.8xlarge,128,us-east-1,Amazon Managed Streaming for Apache Kafka,
5J827BX6VMEWA4HY,JRTCKXETXF,5J827BX6VMEWA4HY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.08 per GB for MSK Replicator in US East (N. Virginia),2025-05-01,0,Inf,GB,0.0800000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Per-GB cross-region data replicated,US East (N. Virginia),AWS Region,,Replicator,USE1-KafkaReplication-Processed-Bytes,CrossRegionSourceLocal,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
63SP8EF29DGKVSG2,JRTCKXETXF,63SP8EF29DGKVSG2.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 1.68 per Kafka.m5.4xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,1.6800000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,16,Broker,USE1-Kafka.m5.4xlarge,RunBroker,m5.4xlarge,64,us-east-1,Amazon Managed Streaming for Apache Kafka,
65XV7TSGW9ZJSRYZ,JRTCKXETXF,65XV7TSGW9ZJSRYZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.1 per GB-Month for storage in US East (N. Virginia),2025-05-01,0,Inf,GB-Mo,0.1000000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Storage-hours,US East (N. Virginia),AWS Region,,Storage,USE1-Kafka.Storage.GP2,RunVolume,,,us-east-1,Amazon Managed Streaming for Apache Kafka,GP2
6V2ZM93CFJS55ZEH,JRTCKXETXF,6V2ZM93CFJS55ZEH.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.0225 per private connectivity hour per authentication scheme in US East (N. Virginia),2025-05-01,0,Inf,hours,0.0225000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Private connectivity-hours per authentication scheme,US East (N. Virginia),AWS Region,,Connectivity,USE1-Kafka.PrivateConnectivityHours,PrivateConnectivity,,,us-east-1,Amazon Managed Streaming for Apache Kafka,
86JRD8JMZ6AV2HFU,JRTCKXETXF,86JRD8JMZ6AV2HFU.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 3.264 per Kafka.m7g.8xlarge broker hour in US East (N. Virginia),2025-05-01,0,Inf,hours,3.2640000000,USD,Managed Streaming for Apache Kafka (MSK),AmazonMSK,Broker-hours,US East (N. Virginia),AWS Region,32,Broker,USE1-Kafka.m7g.8xlarge,RunBroker,m7g.8xlarge,128,us-east-1,Amazon Managed Streaming for Apache Kafka,
