SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,serviceCode,Location,Location Type,usageType,operation,Region Code,serviceName,Size,Type,Version
4872FWQ75ENMT82Y,JRTCKXETXF,4872FWQ75ENMT82Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.10 per GB-month of Airflow consumed standard database storage,2024-11-01,0,Inf,Gigabyte Month,0.1000000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-StandardDatabaseStorage,,us-east-1,Amazon Managed Workflows for Apache Airflow,,Standard,
4N3MTQQKXSRT5UYQ,JRTCKXETXF,4N3MTQQKXSRT5UYQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.88 per hour for Airflow 2XL scheduler,2024-11-01,0,Inf,Hrs,0.8800000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-2XLargeScheduler,,us-east-1,Amazon Managed Workflows for Apache Airflow,2XLarge,Scheduler,1
6BHH8YTJ6V9FQ4E9,JRTCKXETXF,6BHH8YTJ6V9FQ4E9.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.11 per hour for Airflow medium schedulers,2024-11-01,0,Inf,Hrs,0.1100000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-MediumScheduler,,us-east-1,Amazon Managed Workflows for Apache Airflow,Medium,Scheduler,1
6FW89S9DDHFSFGM2,JRTCKXETXF,6FW89S9DDHFSFGM2.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.055 per hour for Airflow small webserver,2024-11-01,0,Inf,Hrs,0.0550000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-SmallWebServer,,us-east-1,Amazon Managed Workflows for Apache Airflow,Small,WebServer,1
94F3JPKJ9HG8FFXH,JRTCKXETXF,94F3JPKJ9HG8FFXH.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.055 per hour for Airflow small schedulers,2024-11-01,0,Inf,Hrs,0.0550000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-SmallScheduler,,us-east-1,Amazon Managed Workflows for Apache Airflow,Small,Scheduler,1
AA73WJ5KJMCWN4N5,JRTCKXETXF,AA73WJ5KJMCWN4N5.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.99 per hour for Airflow large environment,2024-11-01,0,Inf,Hrs,0.9900000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-LargeEnvironment,,us-east-1,Amazon Managed Workflows for Apache Airflow,Large,Environment,1
BNVM8FFAH586DRYH,JRTCKXETXF,BNVM8FFAH586DRYH.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 1.98 per hour for Airflow XL environment,2024-11-01,0,Inf,Hrs,1.9800000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-XLargeEnvironment,,us-east-1,Amazon Managed Workflows for Apache Airflow,XLarge,Environment,1
D4TE9AUW6VEUY8YZ,JRTCKXETXF,D4TE9AUW6VEUY8YZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.29 per hour for Airflow micro environment,2024-11-01,0,Inf,Hrs,0.2900000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-MicroEnvironment,,us-east-1,Amazon Managed Workflows for Apache Airflow,Micro,Environment,1
D9DUVSJEMJAKYVN9,JRTCKXETXF,D9DUVSJEMJAKYVN9.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.22 per hour for Airflow large schedulers,2024-11-01,0,Inf,Hrs,0.2200000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-LargeScheduler,,us-east-1,Amazon Managed Workflows for Apache Airflow,Large,Scheduler,1
EP6A6W26BU6Z27AF,JRTCKXETXF,EP6A6W26BU6Z27AF.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.49 per hour for Airflow small environment,2024-11-01,0,Inf,Hrs,0.4900000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-SmallEnvironment,,us-east-1,Amazon Managed Workflows for Apache Airflow,Small,Environment,1
EU2KYPFPFMJHWX8X,JRTCKXETXF,EU2KYPFPFMJHWX8X.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 3.96 per hour for Airflow 2XL environment,2024-11-01,0,Inf,Hrs,3.9600000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-2XLargeEnvironment,,us-east-1,Amazon Managed Workflows for Apache Airflow,2XLarge,Environment,1
H6UQ8CGUQ8B6W2DS,JRTCKXETXF,H6UQ8CGUQ8B6W2DS.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.11 per hour for Airflow large webserver,2024-11-01,0,Inf,Hrs,0.1100000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-LargeWebServer,,us-east-1,Amazon Managed Workflows for Apache Airflow,Large,WebServer,1
KF2WZ5CESCBQ7CQJ,JRTCKXETXF,KF2WZ5CESCBQ7CQJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.22 per hour for Airflow XL webserver,2024-11-01,0,Inf,Hrs,0.2200000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-XLargeWebServer,,us-east-1,Amazon Managed Workflows for Apache Airflow,XLarge,WebServer,1
MN7FNW9KEX77GWR6,JRTCKXETXF,MN7FNW9KEX77GWR6.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.44 per hour for Airflow XL worker,2024-11-01,0,Inf,Hrs,0.4400000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-XLargeWorker,,us-east-1,Amazon Managed Workflows for Apache Airflow,XLarge,Worker,1
MVVCAMXWU28HHUFD,JRTCKXETXF,MVVCAMXWU28HHUFD.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.22 per hour for Airflow large workers,2024-11-01,0,Inf,Hrs,0.2200000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-LargeWorker,,us-east-1,Amazon Managed Workflows for Apache Airflow,Large,Worker,1
PBWDE47X9FJDP5VF,JRTCKXETXF,PBWDE47X9FJDP5VF.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.11 per hour for Airflow medium workers,2024-11-01,0,Inf,Hrs,0.1100000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-MediumWorker,,us-east-1,Amazon Managed Workflows for Apache Airflow,Medium,Worker,1
RFXXQEP9WYSBT94U,JRTCKXETXF,RFXXQEP9WYSBT94U.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.055 per hour for Airflow medium webserver,2024-11-01,0,Inf,Hrs,0.0550000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-MediumWebServer,,us-east-1,Amazon Managed Workflows for Apache Airflow,Medium,WebServer,1
US2U49YPKQP3TP24,JRTCKXETXF,US2U49YPKQP3TP24.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.44 per hour for Airflow XL scheduler,2024-11-01,0,Inf,Hrs,0.4400000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-XLargeScheduler,,us-east-1,Amazon Managed Workflows for Apache Airflow,XLarge,Scheduler,1
VHNMWUANZ5MS529W,JRTCKXETXF,VHNMWUANZ5MS529W.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.055 per hour for Airflow small workers,2024-11-01,0,Inf,Hrs,0.0550000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-SmallWorker,,us-east-1,Amazon Managed Workflows for Apache Airflow,Small,Worker,1
XEMKGUN6VJNX6KH5,JRTCKXETXF,XEMKGUN6VJNX6KH5.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.88 per hour for Airflow 2XL worker,2024-11-01,0,Inf,Hrs,0.8800000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-2XLargeWorker,,us-east-1,Amazon Managed Workflows for Apache Airflow,2XLarge,Worker,1
XTRZ7FGQJJBAAP3H,JRTCKXETXF,XTRZ7FGQJJBAAP3H.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.74 per hour for Airflow medium environment,2024-11-01,0,Inf,Hrs,0.7400000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-MediumEnvironment,,us-east-1,Amazon Managed Workflows for Apache Airflow,Medium,Environment,1
ZHTBJCZ48YYXM28K,JRTCKXETXF,ZHTBJCZ48YYXM28K.JRTCKXETXF.6YS6EN2CT7,OnDemand,USD 0.44 per hour for Airflow 2XL webserver,2024-11-01,0,Inf,Hrs,0.4400000000,USD,AmazonMWAA,US East (N. Virginia),AWS Region,USE1-Airflow-2XLargeWebServer,,us-east-1,Amazon Managed Workflows for Apache Airflow,2XLarge,WebServer,1
