SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Description,Location,Location Type,Instance Type,Current Generation,vCPU,Memory,Storage,I/O,Storage Media,usageType,operation,ConcurrencyScalingFreeUsage,ECU,Payment Option,Pricing Unit,Region Code,serviceName,Term,Usage Family
2XP6TDB4ZYZUSN2D,JRTCKXETXF,2XP6TDB4ZYZUSN2D.JRTCKXETXF.6YS6EN2CT7,OnDemand,Storage charges with Redshift managed storage,2025-05-01,0,Inf,GB-Mo,0.0240000000,USD,,,,Redshift Managed Storage,AmazonRedshift,Storage charges with Redshift managed storage,US East (N. Virginia),AWS Region,ra3.xlplus,Yes,,,,,,RMS:ra3.xlplus,,,,,GB-Mo,us-east-1,Amazon Redshift,,RA3
4D22YRE9BB4PNBSA,JRTCKXETXF,4D22YRE9BB4PNBSA.JRTCKXETXF.6YS6EN2CT7,OnDemand,Storage charges with Redshift managed storage,2025-05-01,0,Inf,GB-Mo,0.0240000000,USD,,,,Redshift Managed Storage,AmazonRedshift,,US East (N. Virginia),AWS Region,,,,,,,Amazon S3,USE1-RMS:Serverless,,,,,,us-east-1,Amazon Redshift,,
5GZR5W5AKZUHNFAE,JRTCKXETXF,5GZR5W5AKZUHNFAE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.800 per Redshift Dense Compute Eight Extra Large (DC2.8XL) Compute Node-hour (or partial hour),2025-05-01,0,Inf,Hrs,4.8000000000,USD,,,,Compute Instance,AmazonRedshift,,US East (N. Virginia),AWS Region,dc2.8xlarge,Yes,32,244 GiB,2.56TB SSD,7.50 GB/s,,Node:dc2.8xlarge,RunComputeNode:0001,,99,,,us-east-1,Amazon Redshift,,Dense Compute
5HB4Z8DAU9Q93SV7,JRTCKXETXF,5HB4Z8DAU9Q93SV7.JRTCKXETXF.PGHJ3S3EYE,OnDemand,$0.023 per GB-month of snapshot storage exceeding free allocation - first 50 TB/month of storage used,2025-05-01,0,51200,GB-Mo,0.0230000000,USD,,,,Storage Snapshot,AmazonRedshift,,US East (N. Virginia),AWS Region,,,,,,,Amazon S3,Redshift:PaidSnapshots,,,,,,us-east-1,Amazon Redshift,,
5HB4Z8DAU9Q93SV7,JRTCKXETXF,5HB4Z8DAU9Q93SV7.JRTCKXETXF.D42MF2PVJS,OnDemand,$0.022 per GB-month of snapshot storage exceeding free allocation - next 450 TB/month of storage used,2025-05-01,51200,512000,GB-Mo,0.0220000000,USD,,,,Storage Snapshot,AmazonRedshift,,US East (N. Virginia),AWS Region,,,,,,,Amazon S3,Redshift:PaidSnapshots,,,,,,us-east-1,Amazon Redshift,,
5HB4Z8DAU9Q93SV7,JRTCKXETXF,5HB4Z8DAU9Q93SV7.JRTCKXETXF.PXJDJ3YRG3,OnDemand,$0.021 per GB-month of snapshot storage exceeding free allocation - storage used over 500 TB/month,2025-05-01,512000,Inf,GB-Mo,0.0210000000,USD,,,,Storage Snapshot,AmazonRedshift,,US East (N. Virginia),AWS Region,,,,,,,Amazon S3,Redshift:PaidSnapshots,,,,,,us-east-1,Amazon Redshift,,
9YKPBVE84A7R399C,JRTCKXETXF,9YKPBVE84A7R399C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per Redshift Concurrency Scaling  DC2.8XL Node-second - Free Usage,2025-05-01,0,Inf,seconds,0.0000000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,dc2.8xlarge,Yes,,,,,,CSFreeUsage:dc2.8xlarge,,Yes,,,,us-east-1,Amazon Redshift,,Dense Compute
BK6TQVFUSYNYZ4W2,JRTCKXETXF,BK6TQVFUSYNYZ4W2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0009 per Redshift Concurrency Scaling RA3.4XL Node-second,2025-05-01,0,Inf,seconds,0.0009000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.4xlarge,Yes,,,,,,CS:ra3.4xlarge,,No,,,,us-east-1,Amazon Redshift,,RA3
BRQXPJF4RZXD4TK5,JRTCKXETXF,BRQXPJF4RZXD4TK5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per Redshift Concurrency Scaling RA3.XLPLUS Node-second,2025-05-01,0,Inf,seconds,0.0000000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ra3.xlplus,Yes,,,,,,CSFreeUsage:ra3.xlplus,,Yes,,,,us-east-1,Amazon Redshift,,RA3
BW5D658ADF2GVMMQ,JRTCKXETXF,BW5D658ADF2GVMMQ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2,430 per RPU for Redshift serverless capacity reservations all-upfront usage in US East (N. Virginia),2025-05-01,0,Inf,RPU-Hr,2430.0000000000,USD,,,,Serverless,AmazonRedshift,,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:ServerlessUsage-CR-1YR-AU,RunServerlessCompute:001,,,All Upfront,,us-east-1,Amazon Redshift,1 Year,
D6R8UWTMZU6R65ZF,JRTCKXETXF,D6R8UWTMZU6R65ZF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per Redshift Concurrency Scaling  DS2.XL Node-second - Free Usage,2025-05-01,0,Inf,seconds,0.0000000000,USD,,,,Redshift Concurrency Scaling,AmazonRedshift,,US East (N. Virginia),AWS Region,ds2.xlarge,Yes,,,,,,CSFreeUsage:ds2.xlarge,,Yes,,,,us-east-1,Amazon Redshift,,Dense Storage
E5AB8HE46XNNWE2Z,4NA7Y494T4,E5AB8HE46XNNWE2Z.4NA7Y494T4.6YS6EN2CT7,Reserved,Redshift Serverless,redshift.serverless reserved instance applied,2025-05-12,0,Inf,RPU-Hr,0.3000000000,USD,1yr,No Upfront,standard,Serverless,AmazonRedshift,Redshift Serverless compute charges,US East (N. Virginia),AWS Region,,,,,,,,USE1-Redshift:ServerlessUsage,RunServerlessCompute:001,,,,,us-east-1,Amazon Redshift,,
