SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Availability,Storage Class,Volume Type,Fee Code,Fee Description,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,Durability,From Region Code,Overhead,Region Code,serviceName,To Region Code
23F8QJNUYFV9VBKR,JRTCKXETXF,23F8QJNUYFV9VBKR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - EU (Stockholm) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,EU (Stockholm),AWS Region,US East (N. Virginia),AWS Region,EUN1-USE1-S3RTC-Out-Bytes,,,eu-north-1,,,Amazon Simple Storage Service,us-east-1
26EY5Q656QEFV8J2,JRTCKXETXF,26EY5Q656QEFV8J2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0125 per GB-Month prorated for objects deleted or overwritten before 30 days in Standard-Infrequent Access,2025-05-01,0,Inf,GB-Mo,0.0125000000,USD,Fee,AmazonS3,US East (N. Virginia),AWS Region,,,,S3:EarlyDelete-SIA,Pro-rated fee for objects deleted before 30 days in Standard-Infrequent Access volume,,,,,,,,EarlyDelete-SIA,,,,,us-east-1,Amazon Simple Storage Service,
26TUJV6FNGAN44UY,JRTCKXETXF,26TUJV6FNGAN44UY.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per GB - for bytes returned by S3 Select in Glacier Instant Retrieval,2025-05-01,0,Inf,GB,0.0300000000,USD,API Request,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-GIR-Select-Returned,Data Returned by S3 Select in Glacier Instant Retrieval,,,,,,Select-Returned-GIR-Bytes,,,,,us-east-1,Amazon Simple Storage Service,
2C7JEQ54QWYYWGZ6,JRTCKXETXF,2C7JEQ54QWYYWGZ6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per GB - flat fee for all bytes retrieved in One Zone-Infrequent Access,2025-05-01,0,Inf,GB,0.0100000000,USD,API Request,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-ZIA-Retrieval,Object Retrieval in One Zone-Infrequent Access,,,,,,Retrieval-ZIA,,,,,us-east-1,Amazon Simple Storage Service,
2JJWKKAC5YMRS4TV,JRTCKXETXF,2JJWKKAC5YMRS4TV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per 1,000 CreateAGIdC requests for S3 Access Grants,2025-05-01,0,Inf,Requests,0.0000300000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-Tier8,Access Grants Requests-CreateAGIdC,,,,,,Requests-Tier8,CreateAGIdC,,,,us-east-1,Amazon Simple Storage Service,
2QX5QE7SQKC2UXRG,JRTCKXETXF,2QX5QE7SQKC2UXRG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per 1,000 DeleteAG requests for S3 Access Grants,2025-05-01,0,Inf,Requests,0.0000000000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-Tier8,Access Grants Requests-DeleteAG,,,,,,Requests-Tier8,DeleteAG,,,,us-east-1,Amazon Simple Storage Service,
2VCR5WB776KPSYFW,JRTCKXETXF,2VCR5WB776KPSYFW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0125 per GB-Month of storage used for small objects,2025-05-01,0,Inf,GB-Mo,0.0125000000,USD,Fee,AmazonS3,US East (N. Virginia),AWS Region,,,,S3-Storage-SIA-SmObject,Fee for storing small objects (<128KB) in SIA Storage,,,,,,,,TimedStorage-SIA-SmObjects,,,,,us-east-1,Amazon Simple Storage Service,
32K24TRSQQ7MN9SW,JRTCKXETXF,32K24TRSQQ7MN9SW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per 1,000 GetAGLocation requests for S3 Access Grants,2025-05-01,0,Inf,Requests,0.0000300000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-Tier8,Access Grants Requests-GetAGLocation,,,,,,Requests-Tier8,GetAGLocation,,,,us-east-1,Amazon Simple Storage Service,
33739B4HVX6DNMXU,JRTCKXETXF,33739B4HVX6DNMXU.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,IntraRegion Outbound,US East (N. Virginia),AWS Region,US East (N. Virginia),AWS Region,USE1-USE1-S3RTC-Out-Bytes,,,us-east-1,,,Amazon Simple Storage Service,us-east-1
33EHHHGD6AYWYYDW,JRTCKXETXF,33EHHHGD6AYWYYDW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0033 per GB - EU (London) InterRegion Inbound Base Data Transfer for MRAP to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0033000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,EU (London),AWS Region,US East (N. Virginia),AWS Region,USE1-EUW2-MRAP-In-Bytes,MRAP-Dtransfer,,eu-west-2,,,Amazon Simple Storage Service,us-east-1
3433KX4R4JGNQPEA,JRTCKXETXF,3433KX4R4JGNQPEA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - Asia Pacific (Thailand) Data Transfer Out for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,Asia Pacific (Thailand),AWS Region,US East (N. Virginia),AWS Region,APS9-USE1-S3RTC-Out-Bytes,,,ap-southeast-7,,,Amazon Simple Storage Service,us-east-1
35JC78TFHSJVNG4C,JRTCKXETXF,35JC78TFHSJVNG4C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0007 per GB - for bytes returned by S3 Select in Intelligent - Tiering,2025-05-01,0,Inf,GB,0.0007000000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-INT-Select-Returned,Data Returned by S3 Select in Intelligent-Tiering,,,,,,Select-Returned-INT-Bytes,,,,,us-east-1,Amazon Simple Storage Service,
379GYJUQ5WFBUYGM,JRTCKXETXF,379GYJUQ5WFBUYGM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0125 per GB-Month of storage used in Standard-Infrequent Access,2025-05-01,0,Inf,GB-Mo,0.0125000000,USD,Storage,AmazonS3,US East (N. Virginia),AWS Region,99.9%,Infrequent Access,Standard - Infrequent Access,,,,,,,,,,TimedStorage-SIA-ByteHrs,,99.999999999%,,,us-east-1,Amazon Simple Storage Service,
37N7VG59W5VDWG9S,JRTCKXETXF,37N7VG59W5VDWG9S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0025 per GB - Bulk Select Data Returned Bytes,2025-05-01,0,Inf,GB,0.0025000000,USD,Fee,AmazonS3,US East (N. Virginia),AWS Region,,,,S3-Bulk-Select-Scanned,Fee for Select Data Scanned using Bulk tier,,,,,,,,Bulk-Select-Returned-Bytes,,,,,us-east-1,Amazon Simple Storage Service,
3CQDFEPVPU79WH6T,JRTCKXETXF,3CQDFEPVPU79WH6T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - Asia Pacific (Tokyo) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,Asia Pacific (Tokyo),AWS Region,US East (N. Virginia),AWS Region,USE1-APN1-S3RTC-In-Bytes,,,ap-northeast-1,,,Amazon Simple Storage Service,us-east-1
3F88WBE2UM7QDP6H,JRTCKXETXF,3F88WBE2UM7QDP6H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.015 per GB - EU (Frankfurt) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0150000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,EU (Frankfurt),AWS Region,US East (N. Virginia),AWS Region,EUC1-USE1-S3RTC-Out-Bytes,,,eu-central-1,,,Amazon Simple Storage Service,us-east-1
3H39MQACKQNXSFW9,JRTCKXETXF,3H39MQACKQNXSFW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - Africa (Cape Town) Data Transfer for Replication Time Control to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,Africa (Cape Town),AWS Region,US East (N. Virginia),AWS Region,USE1-AFS1-S3RTC-In-Bytes,,,af-south-1,,,Amazon Simple Storage Service,us-east-1
3KC8KNNKT7EMY3Z9,JRTCKXETXF,3KC8KNNKT7EMY3Z9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03 per 1,000 ListAGCallerGrants requests for S3 Access Grants,2025-05-01,0,Inf,Requests,0.0000300000,USD,,AmazonS3,US East (N. Virginia),AWS Region,,,,,,S3-API-Tier8,Access Grants Requests-ListAGCallerGrants,,,,,,Requests-Tier8,ListAGCallerGrants,,,,us-east-1,Amazon Simple Storage Service,
3Q77AV5KBQJMTNXB,JRTCKXETXF,3Q77AV5KBQJMTNXB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB - US East (N. Virginia) Data Transfer for Replication Time Control to Asia Pacific (Malaysia),2025-05-01,0,Inf,GB,0.0000000000,USD,,AmazonS3,,,,,,,,,,InterRegion Inbound,US East (N. Virginia),AWS Region,Asia Pacific (Malaysia),AWS Region,APS7-USE1-S3RTC-In-Bytes,,,us-east-1,,,Amazon Simple Storage Service,ap-southeast-5
3R4CWPJ2QPFCJXNR,JRTCKXETXF,3R4CWPJ2QPFCJXNR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0033 per GB - US East (Ohio) InterRegion Outbound Base Data Transfer for MRAP to US East (N. Virginia),2025-05-01,0,Inf,GB,0.0033000000,USD,,AmazonS3,,,,,,,,,,InterRegion Outbound,US East (Ohio),AWS Region,US East (N. Virginia),AWS Region,USE2-USE1-MRAP-Out-Bytes,MRAP-Dtransfer,,us-east-2,,,Amazon Simple Storage Service,us-east-1
