SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Volume Type,Max throughput/volume,Group,Group Description,usageType,operation,Automatic Label,Component,Compute Type,DataStore StorageType,GPU,GPU Memory,Instance Name,Integrating API,Integrating Feature,Integrating Service,Integration Type,Labeling Task Type,Memory(GB),PartnerAppResourceName,PartnerAppResourceService,PartnerAppResourceType,PartnerAppTier,PartnerAppType,Physical CPU,Physical GPU,PlatoClassificationType,PlatoInstanceName,PlatoInstanceType,Pricing Unit,Region Code,ScepterUsageType,serviceName,Storage Type,Tracking Server Size,V CPU,Workforce Type
229XYHSAFXMFPV74,JRTCKXETXF,229XYHSAFXMFPV74.JRTCKXETXF.6YS6EN2CT7,OnDemand,15.58 per Hrs for Cluster:ml.inf2.48xlarge-Reserved in US East (N. Virginia),2025-05-01,0,Inf,Hrs,15.5800000000,USD,,ML Instance,AmazonSageMaker,US East (N. Virginia),AWS Region,ml.inf2.48xlarge-Cluster,Yes,,768 GiB,EBS only,100 Gbps,,,,,,USE1-Cluster:ml.inf2.48xlarge-Reserved,RunInstance,,Cluster,Accelerated Computing Instances,,N/A,NA,ml.inf2.48xlarge,,,,,,,,,,,,AMD EPYC 7R13 Processor,AWS Inferentia2,,inf2,Cluster-Reserved,,us-east-1,,Amazon SageMaker,,,192,
23B3MW4X6MB4YMCV,JRTCKXETXF,23B3MW4X6MB4YMCV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.254 per CodeEditor ml.m5d.12xlarge hour in US East (N. Virginia),2025-05-01,0,Inf,Hrs,3.2540000000,USD,,ML Instance,AmazonSageMaker,US East (N. Virginia),AWS Region,ml.m5d.12xlarge,Yes,3.1 GHz,192 GiB,2 x 900 NVMe SSD,10 Gigabit,64-bit,,,,,USE1-Studio:CodeEditor-ml.m5d.12xlarge,RunInstance,,studio-codeeditor,Standard Instances,,N/A,NA,ml.m5d.12xlarge,,,,,,,,,,,,Intel Xeon Platinum 8175 (Skylake),N/A,,m5d,studio-codeeditor,,us-east-1,,Amazon SageMaker,,,48,
24WFZ3DSZ7UK2QDW,JRTCKXETXF,24WFZ3DSZ7UK2QDW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.360 per public workforce task,2025-05-01,0,Inf,Tasks,0.3600000000,USD,,Machine Learning,AmazonSageMaker,US East (N. Virginia),AWS Region,,,,,,,,,,,,USE1-Custom:PublicTaskAt0.360,CreateLabelingJob,N/A,,,,,,,,,,N/A,Custom Task,,,,,,,,,PublicTask,,,,us-east-1,,Amazon SageMaker,,,,PublicTaskAt0.360
24WSJ59RWPMVXANN,JRTCKXETXF,24WSJ59RWPMVXANN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.242 per BatchTransform Job ml.m7i.xlarge hour in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.2420000000,USD,,ML Instance,AmazonSageMaker,US East (N. Virginia),AWS Region,ml.m7i.xlarge-BatchTransform,Yes,,16 GiB,,Up to 12.5 Gigabit,,,,,,USE1-Tsform:ml.m7i.xlarge,RunInstance,,BatchTransform,Standard Instances,,N/A,NA,ml.m7i.xlarge,,,,,,,,,,,,Intel Xeon Scalable (Sapphire Rapids),N/A,,m7i,BatchTransform,,us-east-1,,Amazon SageMaker,,,4,
25EMKMNK2Q27AUY2,JRTCKXETXF,25EMKMNK2Q27AUY2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.21696 per Hosting ml.m6gd.xlarge hour in US East (N. Virginia),2025-05-01,0,Inf,Hrs,0.2169600000,USD,,ML Instance,AmazonSageMaker,US East (N. Virginia),AWS Region,ml.m6gd.xlarge-Hosting,Yes,2.5 GHz,16 GiB,1 x 237 NVMe SSD,Up to 10 Gigabit,64-bit,,,,,USE1-Host:ml.m6gd.xlarge,RunInstance,,Hosting,Standard Instances,,N/A,NA,ml.m6gd.xlarge,,,,,,,,,,,,AWS Graviton2 Processor,N/A,,m6gd,Hosting,Hrs,us-east-1,,Amazon SageMaker,,,4,
25TC687A4JSSSY7E,JRTCKXETXF,25TC687A4JSSSY7E.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.84 per Training ml.m4.16xlarge hour in US East (N. Virginia),2025-05-01,0,Inf,Hrs,3.8400000000,USD,,ML Instance,AmazonSageMaker,US East (N. Virginia),AWS Region,ml.m4.16xlarge-Training,Yes,2.4 GHz,256 GiB,EBS only,20 Gigabit,64-bit,,,,,USE1-Train:ml.m4.16xlarge,RunInstance,,Training,Standard Instances,,0,0,ml.m4.16xlarge,,,,,,,,,,,,Intel Xeon E5-2686 v4 (Broadwell),None,,m4,Training,,us-east-1,,Amazon SageMaker,,,64,
267GHC2H5MMBVGUJ,JRTCKXETXF,267GHC2H5MMBVGUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Aurora:StorageIOUsage,2025-05-01,0,Inf,IOs,0.0000002000,USD,,Amazon SageMaker,AmazonSageMaker,US East (N. Virginia),AWS Region,,,,,,,,,,,,USE1-PartnerApp-Aurora:StorageIOUsage,PartnerApp-Comet-Large,,,,,,,,,,,,,,Aurora:StorageIOUsage,PA-Aurora,Database,Comet-Large,Comet,,,,,,,us-east-1,,Amazon SageMaker,,,,
27NPKCC2UN69T3B4,JRTCKXETXF,27NPKCC2UN69T3B4.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.600 per Mturk task for text spanning,2025-05-01,0,Inf,Tasks,0.6000000000,USD,,Machine Learning,AmazonSageMaker,US East (N. Virginia),AWS Region,,,,,,,,,,,,USE1-TxtSpan:PublicTaskAt0.600,CreateLabelingJob,N/A,,,,,,,,,,N/A,Text Spanning,,,,,,,,,PublicTask,,,,us-east-1,,Amazon SageMaker,,,,PublicTaskAt0.600
28YST4BDR26S3YUU,JRTCKXETXF,28YST4BDR26S3YUU.JRTCKXETXF.6YS6EN2CT7,OnDemand,Aurora:ServerlessV2Usage,2025-05-01,0,Inf,ACU-Hr,0.1200000000,USD,,Amazon SageMaker,AmazonSageMaker,US East (N. Virginia),AWS Region,,,,,,,,,,,,USE1-PartnerApp-Aurora:ServerlessV2Usage,PartnerApp-Deepchecks-Medium,,,,,,,,,,,,,,Aurora:ServerlessV2Usage,PA-Aurora,Database,Deepchecks-Medium,Deepchecks,,,,,,,us-east-1,,Amazon SageMaker,,,,
2A8UQKHP8GJKN4SC,JRTCKXETXF,2A8UQKHP8GJKN4SC.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.60 per Small Tracking Server hour in US East (N. Virginia),2025-05-01,0,Inf,Hours,0.6000000000,USD,,Amazon SageMaker,AmazonSageMaker,US East (N. Virginia),AWS Region,,,,,,,,,,,,USE1-MLflow:TrackingServerCompute-Small,RunTrackingServer,,,,,,,,,,,,,,,,,,,,,,,,,us-east-1,,Amazon SageMaker,,Small,,
