SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,LogOrigin,LogSource,Paid,Region Code,serviceName
3N89QX7E87QFRZX3,JRTCKXETXF,3N89QX7E87QFRZX3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for normalization of Lambda execution activity logs under free trial in US East (N. Virginia),2024-05-01,0,Inf,GB,0.0000000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-FreeNormalization-Bytes,LambdaDataEvents,,LambdaDataEvents,Free,us-east-1,Amazon Security Lake
5VZK7X87M7582M3R,JRTCKXETXF,5VZK7X87M7582M3R.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for normalization of CloudTrail management events query logs under free trial in US East (N. Virginia),2024-05-01,0,Inf,GB,0.0000000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-FreeNormalization-Bytes,ManagementEvents,,ManagementEvents,Free,us-east-1,Amazon Security Lake
8FPU3MCHUG6KK2P5,JRTCKXETXF,8FPU3MCHUG6KK2P5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per GB of logs delivered under free trial in US East (N. Virginia),2024-05-01,0,Inf,GB,0.0000000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-FreeOtherLogs-Bytes,,OtherLogs,Any,Free,us-east-1,Amazon Security Lake
9CZDBYQBQE8D4ET3,JRTCKXETXF,9CZDBYQBQE8D4ET3.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.035 per GB for normalization of CloudTrail management events in US East (N. Virginia),2024-05-01,0,Inf,GB,0.0350000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-PaidNormalization-Bytes,ManagementEvents,,ManagementEvents,Paid,us-east-1,Amazon Security Lake
BXEFVS7X5YMHPGZR,JRTCKXETXF,BXEFVS7X5YMHPGZR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per GB for normalization of Route53 resolver query logs under free trial in US East (N. Virginia),2024-05-01,0,Inf,GB,0.0000000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-FreeNormalization-Bytes,Route53Resolver,,Route53Resolver,Free,us-east-1,Amazon Security Lake
F6MJAK7MR5BSUH2M,JRTCKXETXF,F6MJAK7MR5BSUH2M.JRTCKXETXF.Q3Z75P77EN,OnDemand,$0.25 per GB of logs delivered for the first 10TB in US East (N. Virginia),2024-05-01,0,10240,GB,0.2500000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-PaidOtherLogs-Bytes,,OtherLogs,Any,Paid,us-east-1,Amazon Security Lake
F6MJAK7MR5BSUH2M,JRTCKXETXF,F6MJAK7MR5BSUH2M.JRTCKXETXF.JM86AE7V7B,OnDemand,$0.15 per GB of logs delivered for the next 20TB in US East (N. Virginia),2024-05-01,10240,30720,GB,0.1500000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-PaidOtherLogs-Bytes,,OtherLogs,Any,Paid,us-east-1,Amazon Security Lake
F6MJAK7MR5BSUH2M,JRTCKXETXF,F6MJAK7MR5BSUH2M.JRTCKXETXF.AMET9K77J3,OnDemand,$0.075 per GB of logs delivered for the next 20TB in US East (N. Virginia),2024-05-01,30720,51200,GB,0.0750000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-PaidOtherLogs-Bytes,,OtherLogs,Any,Paid,us-east-1,Amazon Security Lake
F6MJAK7MR5BSUH2M,JRTCKXETXF,F6MJAK7MR5BSUH2M.JRTCKXETXF.AQTKZ3QBDA,OnDemand,$0.05 per GB of logs delivered over 50TB in US East (N. Virginia),2024-05-01,51200,Inf,GB,0.0500000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-PaidOtherLogs-Bytes,,OtherLogs,Any,Paid,us-east-1,Amazon Security Lake
GGDKJJEF3VZWUF9V,JRTCKXETXF,GGDKJJEF3VZWUF9V.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.035 per GB for normalization of S3 data events in US East (N. Virginia),2024-05-01,0,Inf,GB,0.0350000000,USD,Security Lake,AmazonSecurityLake,US East (N. Virginia),AWS Region,USE1-PaidNormalization-Bytes,S3DataEvents,,S3DataEvents,Paid,us-east-1,Amazon Security Lake
