SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Description,Location,Location Type,Storage,usageType,operation,Free Trial,Maximum Storage Volume,Minimum Storage Volume,Region Code,serviceName
4DQSQ582MZYZCM9G,JRTCKXETXF,4DQSQ582MZYZCM9G.JRTCKXETXF.6YNURZBX9Y,OnDemand,$0.023 per GB - first 1 TB / month of storage used in the USE1 region,2022-08-01,0,1024,GB-Mo,0.0230000000,USD,Enterprise Applications,AmazonWorkDocs,Additional storage,US East (N. Virginia),AWS Region,Additional,WorkDocs-USE1-StorageByteHrs,,N,1TB,200GB,us-east-1,Amazon WorkDocs
4DQSQ582MZYZCM9G,JRTCKXETXF,4DQSQ582MZYZCM9G.JRTCKXETXF.QUZRP4P8Y4,OnDemand,$0.023 per GB - next 49 TB / month of storage used in the USE1 region,2022-08-01,1024,51200,GB-Mo,0.0230000000,USD,Enterprise Applications,AmazonWorkDocs,Additional storage,US East (N. Virginia),AWS Region,Additional,WorkDocs-USE1-StorageByteHrs,,N,1TB,200GB,us-east-1,Amazon WorkDocs
4DQSQ582MZYZCM9G,JRTCKXETXF,4DQSQ582MZYZCM9G.JRTCKXETXF.D42MF2PVJS,OnDemand,$0.022 per GB - next 450 TB / month of storage used in the USE1 region,2022-08-01,51200,512000,GB-Mo,0.0220000000,USD,Enterprise Applications,AmazonWorkDocs,Additional storage,US East (N. Virginia),AWS Region,Additional,WorkDocs-USE1-StorageByteHrs,,N,1TB,200GB,us-east-1,Amazon WorkDocs
4DQSQ582MZYZCM9G,JRTCKXETXF,4DQSQ582MZYZCM9G.JRTCKXETXF.YJ98HAVVPP,OnDemand,$0.021 per GB - next 500 TB / month of storage used in the USE1 region,2022-08-01,512000,1024000,GB-Mo,0.0210000000,USD,Enterprise Applications,AmazonWorkDocs,Additional storage,US East (N. Virginia),AWS Region,Additional,WorkDocs-USE1-StorageByteHrs,,N,1TB,200GB,us-east-1,Amazon WorkDocs
4DQSQ582MZYZCM9G,JRTCKXETXF,4DQSQ582MZYZCM9G.JRTCKXETXF.J25EHUHHDK,OnDemand,$0.021 per GB - next 4000 TB / month of storage used in the USE1 region,2022-08-01,1024000,5120000,GB-Mo,0.0210000000,USD,Enterprise Applications,AmazonWorkDocs,Additional storage,US East (N. Virginia),AWS Region,Additional,WorkDocs-USE1-StorageByteHrs,,N,1TB,200GB,us-east-1,Amazon WorkDocs
4DQSQ582MZYZCM9G,JRTCKXETXF,4DQSQ582MZYZCM9G.JRTCKXETXF.JR3K5QW8G3,OnDemand,$0.021 per GB - storage used / month over 5000 TB in the USE1 region,2022-08-01,5120000,Inf,GB-Mo,0.0210000000,USD,Enterprise Applications,AmazonWorkDocs,Additional storage,US East (N. Virginia),AWS Region,Additional,WorkDocs-USE1-StorageByteHrs,,N,1TB,200GB,us-east-1,Amazon WorkDocs
5J55UTDEGG7RGRDK,JRTCKXETXF,5J55UTDEGG7RGRDK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0029 per Write API Call for  in US East (N. Virginia),2022-08-01,0,Inf,API Calls,0.0029000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs API (Write) - Paid,US East (N. Virginia),AWS Region,NA,WorkDocs-USE1-WriteAPICalls,,N,Unlimited,0GB,us-east-1,Amazon WorkDocs
8Q6DW5878ZEENTBW,JRTCKXETXF,8Q6DW5878ZEENTBW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5 per user per month in the USE1 region,2022-08-01,0,Inf,User-Mo,5.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs - Paid,US East (N. Virginia),AWS Region,Included,WorkDocs-USE1-UserHrs,,N,200GB,0GB,us-east-1,Amazon WorkDocs
96MZQWHEM2DG5K5D,JRTCKXETXF,96MZQWHEM2DG5K5D.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per Amazon Business Prime Benefit user per month in the USE1 region,2022-08-01,0,Inf,User-Mo,0.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs  Starter - Amazon Business Prime Benefit,US East (N. Virginia),AWS Region,Included,WorkDocs-USE1-Starter-Amazon-Business-Prime-Benefit-UserHrs,,N,250GB,0GB,us-east-1,Amazon WorkDocs
D3VEWSMKWA4TYSW9,JRTCKXETXF,D3VEWSMKWA4TYSW9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0058 per Search API Calls for  in US East (N. Virginia),2022-08-01,0,Inf,API Calls,0.0058000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs API (Search) - Paid,US East (N. Virginia),AWS Region,NA,WorkDocs-USE1-SearchAPICalls,,N,Unlimited,0GB,us-east-1,Amazon WorkDocs
DPKGFRAE3FMTSHQG,JRTCKXETXF,DPKGFRAE3FMTSHQG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.000145 per Read API Calls for  in US East (N. Virginia),2022-08-01,0,Inf,API Calls,0.0001450000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs API (Read) - Paid,US East (N. Virginia),AWS Region,NA,WorkDocs-USE1-ReadAPICalls,,N,Unlimited,0GB,us-east-1,Amazon WorkDocs
ERKTW3HCW4JSC8C7,JRTCKXETXF,ERKTW3HCW4JSC8C7.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2 per user per month in the USE1 region,2022-08-01,0,Inf,User-Mo,2.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs Basic - Paid,US East (N. Virginia),AWS Region,Included,WorkDocs-USE1-Basic-UserHrs,,N,1TB,0GB,us-east-1,Amazon WorkDocs
FA7V5AHM5TEHJW4C,JRTCKXETXF,FA7V5AHM5TEHJW4C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per WorkSpaces Only user per month in the USE1 region,2022-08-01,0,Inf,User-Mo,0.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs and Amazon WorkSpaces - Free,US East (N. Virginia),AWS Region,Included,WorkDocs-USE1-WSOnly-UserHrs,,N,50GB,0GB,us-east-1,Amazon WorkDocs
H7Z23CT66PWR8SV9,JRTCKXETXF,H7Z23CT66PWR8SV9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00 per GB / month of included storage used in the USE1 region,2022-08-01,0,Inf,GB-Mo,0.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Included Storage,US East (N. Virginia),AWS Region,Included,WorkDocs-USE1-InclStorageByteHrs,,N,200GB,0GB,us-east-1,Amazon WorkDocs
MXATZWTDDPBVNX9T,JRTCKXETXF,MXATZWTDDPBVNX9T.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0029 per List API Calls for  in US East (N. Virginia),2022-08-01,0,Inf,API Calls,0.0029000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs API (List) - Paid,US East (N. Virginia),AWS Region,NA,WorkDocs-USE1-ListAPICalls,,N,Unlimited,0GB,us-east-1,Amazon WorkDocs
NW552EURS5GXTRXP,JRTCKXETXF,NW552EURS5GXTRXP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0 per  Delete API Calls for  in US East (N. Virginia),2022-08-01,0,Inf,API Calls,0.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs API (Delete) - Paid,US East (N. Virginia),AWS Region,NA,WorkDocs-USE1-DeleteAPICalls,,N,Unlimited,0GB,us-east-1,Amazon WorkDocs
RDPQGGQ9ZZDX4UF9,JRTCKXETXF,RDPQGGQ9ZZDX4UF9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2 per WorkDocs Starter user per month in the USE1 region,2022-08-01,0,Inf,User-Mo,2.0000000000,USD,Enterprise Applications,AmazonWorkDocs,Amazon WorkDocs  Starter - Paid,US East (N. Virginia),AWS Region,Included,WorkDocs-USE1-Starter-UserHrs,,N,250GB,0GB,us-east-1,Amazon WorkDocs
