SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,Instance Type,vCPU,Memory,Operating System,usageType,operation,Architecture,Compute Family,Compute Type,Region Code,serviceName,Storage Family,Storage Type
22255YJMUCSZCMGB,JRTCKXETXF,22255YJMUCSZCMGB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.04037 per minutes for USE1-Build-Min:Windows:Reserved:g6.2xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0403700000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,g6.2xlarge,8,32 GiB,Windows,USE1-Build-Min:Windows:Reserved:g6.2xlarge,,x86-64,Reserved-EC2-Custom,reserved.windows.g6.2xlarge,us-east-1,CodeBuild,,
226R8M5JV7FAQM3W,JRTCKXETXF,226R8M5JV7FAQM3W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00302 per minutes for USE1-Build-Min:Linux:Reserved:c6id.large in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0030200000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,c6id.large,2,4 GiB,Linux,USE1-Build-Min:Linux:Reserved:c6id.large,,x86-64,Reserved-EC2-Custom,reserved.linux.c6id.large,us-east-1,CodeBuild,,
234BNHDG2KVB4KFJ,JRTCKXETXF,234BNHDG2KVB4KFJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,AWS CodeBuild - Build minutes on Reserved capacity for Linux x86-64 g1.2xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.1200000000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,,72,144 GiB,Linux,USE1-Build-Min:Linux:Reserved:x86-64.g1.2xlarge,,x86-64,Reserved-EC2,reserved.x86-64.g1.2xlarge,us-east-1,CodeBuild,,
23APC2Y8VMKGZGSV,JRTCKXETXF,23APC2Y8VMKGZGSV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.03348 per minutes for USE1-Build-Min:Linux:Reserved:z1d.3xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0334800000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,z1d.3xlarge,12,96 GiB,Linux,USE1-Build-Min:Linux:Reserved:z1d.3xlarge,,x86-64,Reserved-EC2-Custom,reserved.linux.z1d.3xlarge,us-east-1,CodeBuild,,
23W95XSPS6Y42DGX,JRTCKXETXF,23W95XSPS6Y42DGX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01836 per minutes for USE1-Build-Min:Linux:Reserved:c6a.4xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0183600000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,c6a.4xlarge,16,32 GiB,Linux,USE1-Build-Min:Linux:Reserved:c6a.4xlarge,,x86-64,Reserved-EC2-Custom,reserved.linux.c6a.4xlarge,us-east-1,CodeBuild,,
248FCSHPEPSET6UG,JRTCKXETXF,248FCSHPEPSET6UG.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00864 per minutes for USE1-Build-Min:Linux:Reserved:is4gen.large in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0086400000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,is4gen.large,2,12 GiB,Linux,USE1-Build-Min:Linux:Reserved:is4gen.large,,arm,Reserved-EC2-Custom,reserved.linux.is4gen.large,us-east-1,CodeBuild,,
26E93ZMX4J2MFMF6,JRTCKXETXF,26E93ZMX4J2MFMF6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.12784 per minutes for USE1-Build-Min:Windows:Reserved:r6in.8xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.1278400000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,r6in.8xlarge,32,256 GiB,Windows,USE1-Build-Min:Windows:Reserved:r6in.8xlarge,,x86-64,Reserved-EC2-Custom,reserved.windows.r6in.8xlarge,us-east-1,CodeBuild,,
26MBWQ88F3TVJVDX,JRTCKXETXF,26MBWQ88F3TVJVDX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01814 per minutes for USE1-Build-Min:Linux:Reserved:r6id.2xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0181400000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,r6id.2xlarge,8,64 GiB,Linux,USE1-Build-Min:Linux:Reserved:r6id.2xlarge,,x86-64,Reserved-EC2-Custom,reserved.linux.r6id.2xlarge,us-east-1,CodeBuild,,
26YMGTXXXJYB5PGF,JRTCKXETXF,26YMGTXXXJYB5PGF.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.00542 per minutes for USE1-Build-Min:Linux:Reserved:m6gd.xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.0054200000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,m6gd.xlarge,4,16 GiB,Linux,USE1-Build-Min:Linux:Reserved:m6gd.xlarge,,arm,Reserved-EC2-Custom,reserved.linux.m6gd.xlarge,us-east-1,CodeBuild,,
284G45RGWZZ5YPMA,JRTCKXETXF,284G45RGWZZ5YPMA.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.17352 per minutes for USE1-Build-Min:Windows:Reserved:r5b.12xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.1735200000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,r5b.12xlarge,48,384 GiB,Windows,USE1-Build-Min:Windows:Reserved:r5b.12xlarge,,x86-64,Reserved-EC2-Custom,reserved.windows.r5b.12xlarge,us-east-1,CodeBuild,,
29R66M7ARVXSEM7D,JRTCKXETXF,29R66M7ARVXSEM7D.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.55179 per minutes for USE1-Build-Min:Windows:Reserved:r6idn.32xlarge in US East (N. Virginia),2025-05-01,0,Inf,minutes,0.5517900000,USD,,Compute,CodeBuild,US East (N. Virginia),AWS Region,r6idn.32xlarge,128,1024 GiB,Windows,USE1-Build-Min:Windows:Reserved:r6idn.32xlarge,,x86-64,Reserved-EC2-Custom,reserved.windows.r6idn.32xlarge,us-east-1,CodeBuild,,
