SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,RelatedTo,Product Family,serviceCode,Location,Location Type,usageType,operation,Charge Type,Instance Size,OS Type,Package Type,Provisioning Type,Region Code,serviceName,Storage Type,Tier
26UVMSSK5MT28FZ2,JRTCKXETXF,26UVMSSK5MT28FZ2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0044 per minute for Compute 4 vCPU 8 GB Linux Arm64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0044000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-Provisioned-Usage-Billed,,Billed,4vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
3GQ84F9BQHBMFQ8Z,JRTCKXETXF,3GQ84F9BQHBMFQ8Z.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.012 per minute for Compute 8 vCPU 16 GB Linux x86_64 Pre-Provisioned Usage Billed in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0120000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Provisioned-Usage-Billed,,Billed,8vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
437GEJB5W8KZAVMN,JRTCKXETXF,437GEJB5W8KZAVMN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 4 vCPU 8 GB Linux Arm64 Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-4vCPU-Linux-Arm64-Provisioned-Usage-Included,,Included,4vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
4H5K9MVNBF4YCSR9,JRTCKXETXF,4H5K9MVNBF4YCSR9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.005 per Minutes for Compute-2vCPU-Linux-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0050000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Usage,,,2vCPU,Linux,,On-Demand,us-east-1,CodeCatalyst,,
53WK4V53Y69PCBCS,JRTCKXETXF,53WK4V53Y69PCBCS.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0022 per minutes for Compute-2vCPU-Linux-Arm64-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,minutes,0.0022000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-Provisioned-Usage,,,2vCPU,Linux-ARM64,,Pre-Provisioned,us-east-1,CodeCatalyst,,
5C4QZPGNVK7R9N9K,JRTCKXETXF,5C4QZPGNVK7R9N9K.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.05 per Gigabyte for Storage - Repos - Billed in US East (N. Virginia),2023-11-01,0,Inf,Gigabyte,0.0500000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Storage-Source-Billed,,Billed,,,,,us-east-1,CodeCatalyst,Source,
5FMJC3QG733SSCK5,JRTCKXETXF,5FMJC3QG733SSCK5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 8 vCPU 16 GB Linux x86_64 Pre-Provisioned Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-8vCPU-Linux-Provisioned-Usage-Included,,Included,8vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
5R229X4CPSQD4G7H,JRTCKXETXF,5R229X4CPSQD4G7H.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.92 per hours for 16vCPU-32GB-DevEnvironment-Compute in US East (N. Virginia),2023-11-01,0,Inf,hours,0.9200000000,USD,C5TCPUZKFPJYV8WS,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-16vCPU-32GB-DevEnvironment-Compute,,,16vCPU,MDE,,On-Demand,us-east-1,CodeCatalyst,,
5TD6BZ7JF3VEJWWX,JRTCKXETXF,5TD6BZ7JF3VEJWWX.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.003 per Minutes for Compute-2vCPU-Linux-Provisioned-Usage in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0030000000,USD,H37YN8HZGHVTKHWP,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Provisioned-Usage,,,2vCPU,Linux,,Pre-Provisioned,us-east-1,CodeCatalyst,,
5TRTV54FEUMKQCPD,JRTCKXETXF,5TRTV54FEUMKQCPD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0 per minute for Compute 2 vCPU 4 GB Linux Arm64 On-Demand Usage Included in US East (N. Virginia),2023-11-01,0,Inf,Minute,0.0000000000,USD,,,CodeCatalyst,US East (N. Virginia),AWS Region,USE1-Compute-2vCPU-Linux-Arm64-On-Demand-Usage-Included,,Included,2vCPU,Linux-ARM64,,On-Demand,us-east-1,CodeCatalyst,,
