SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,1-Year Price,3-Year Price,Device Description,Extra Day Fee,Free Days,From Region Code,Job Fee,Job-N-Shipp,PlatoSnowballType,Region Code,Release Type,serviceName,Snowball Type,To Region Code
239NAAFD86VMMQPN,JRTCKXETXF,239NAAFD86VMMQPN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.01 per GB per month for S3 compatible storage on Snow,2025-01-01,0,Inf,GB,0.0100000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-S3SnowEdgeCompute-MonthlyFee,,,,,,,,,Monthly,does not apply,us-east-1,Full Launch,AWS Import/Export Snowball,does not apply,
2U55EJ4Y8CA7KRMR,JRTCKXETXF,2U55EJ4Y8CA7KRMR.JRTCKXETXF.6YS6EN2CT7,OnDemand,$150 per Job per month for Snowcone,2025-01-01,0,Inf,job,150.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,IAD-Snowcone-Monthly-Rental,,,,,,,,,Monthly,Snowcone,us-east-1,Full Launch,AWS Import/Export Snowball,Snowcone,
2Y8A57NM9GMH68GB,JRTCKXETXF,2Y8A57NM9GMH68GB.JRTCKXETXF.6YS6EN2CT7,OnDemand,$97268 per job per year Snowball Edge Storage Optimized 210TB  - Us-east-1 - N.Vriginia,2025-01-01,0,Inf,job,97268.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-SO-V35S-1YearFee,,,,Snowball Edge Storage Optimized 210TB-Yearly,0,0,,97268,Annual,Snowball Edge SO,us-east-1,Full Launch,AWS Import/Export Snowball,Edge_V3_5S,
3KWBYCHMTTPKHY5K,JRTCKXETXF,3KWBYCHMTTPKHY5K.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowcone Service and Ship Fee - US-East-1 - N. Virginia,2025-01-01,0,Inf,job,1.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,IAD-Snowcone-Service-Ship,,,,Snowcone,6,5,,60,Combined,Snowcone,us-east-1,Full Launch,AWS Import/Export Snowball,Snowcone,
6PH29JP7F3TCGEC8,JRTCKXETXF,6PH29JP7F3TCGEC8.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Edge Storage Optimized with EC2 Service and Ship Fee - US-East-1 - N. Virginia,2025-01-01,0,Inf,Job,1.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,IAD-SBE-EC2-Service-Ship,,15330,38325,Snowball Edge Storage Optimized with EC2 Compute Instances,50,10,,500,Combined,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,Edge with EC2,
8AHNB5CFDYA3BUEK,JRTCKXETXF,8AHNB5CFDYA3BUEK.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Service Data Export Fee - US-East-1 - N. Virginia,2025-01-01,0,Inf,GB,0.0300000000,USD,Data Transfer,IngestionServiceSnowball,,,Data Transfer,Snowball Data Transfer Charge,AWS Outbound,US East (N. Virginia),AWS Region,External,Other,Snowball-Data-Transfer-Charge,,,,,,,us-east-1,,,Snowball Edge SO,,,AWS Import/Export Snowball,,
B3VM4Z5W3CZM4CEN,JRTCKXETXF,B3VM4Z5W3CZM4CEN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$400 per Job per month for Snowcone SSD,2025-01-01,0,Inf,job,400.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,IAD-Snowcone-SSD-Monthly-Rental,,,,,,,,,Monthly,Snowcone,us-east-1,Full Launch,AWS Import/Export Snowball,Snowcone SSD,
G5E9257WGVYGU424,JRTCKXETXF,G5E9257WGVYGU424.JRTCKXETXF.6YS6EN2CT7,OnDemand,Replacement job fee for Snowball Edge Storage Optimized with EC2,2025-01-01,0,Inf,Jobs,1.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-Storage-ReplaceJobFee,,,,,,,,500,Replacement,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,Edge with EC2,
JRHAYHFYEDG6HY4U,JRTCKXETXF,JRHAYHFYEDG6HY4U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$5,038 per Job per month for Snowball Edge Compute Optimized with 104 vCPU,2025-01-01,0,Inf,job,5038.0000000000,USD,Snowball Device,IngestionServiceSnowball,US East (N. Virginia),AWS Region,Service and Shipping,Snowball Service Fee per Job and Shipping,,,,,,IAD-SBE-CO-104vCPU-MonthlyFee,,,,,,,,,Monthly_104,Snowball Edge CO,us-east-1,Full Launch,AWS Import/Export Snowball,SBE Compute Optimized,
M3NJSYZ75Z6QEPM3,JRTCKXETXF,M3NJSYZ75Z6QEPM3.JRTCKXETXF.6YS6EN2CT7,OnDemand,Snowball Edge Storage Optimized Service and Ship Fee - US-East-1 - N. Virginia,2025-01-01,0,Inf,Job,1.0000000000,USD,,IngestionServiceSnowball,US East (N. Virginia),AWS Region,,,,,,,,IAD-Snowball-Edge-Service-Ship,,,,Snowball Edge Storage Optimized Data Transfer Only,30,10,,300,Combined,Snowball Edge SO,us-east-1,Full Launch,AWS Import/Export Snowball,Edge,
