SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Group,usageType,operation,Region Code,serviceName
29SZ2ZMFJ8TV6EY7,JRTCKXETXF,29SZ2ZMFJ8TV6EY7.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of DetectPHI-Sync at USD 0.0014 per Unit,2022-10-01,0,1000000,Units,0.0014000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectPHI,USE1-DetectPHI,DetectPHI,us-east-1,Comprehend Medical
29SZ2ZMFJ8TV6EY7,JRTCKXETXF,29SZ2ZMFJ8TV6EY7.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of DetectPHI-Sync at USD 0.0005 per Unit,2022-10-01,1000000,2000000,Units,0.0005000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectPHI,USE1-DetectPHI,DetectPHI,us-east-1,Comprehend Medical
29SZ2ZMFJ8TV6EY7,JRTCKXETXF,29SZ2ZMFJ8TV6EY7.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of DetectPHI-Sync at USD 0.00025 per Unit,2022-10-01,2000000,Inf,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectPHI,USE1-DetectPHI,DetectPHI,us-east-1,Comprehend Medical
64SQ7Y5FCARG6DHR,JRTCKXETXF,64SQ7Y5FCARG6DHR.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of InferRxNorm-Batch at USD 0.00025 per Unit,2022-10-01,0,1000000,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-ComprehendMedical-Batching-IAD-Prod,RxNormInference,us-east-1,Comprehend Medical
64SQ7Y5FCARG6DHR,JRTCKXETXF,64SQ7Y5FCARG6DHR.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of InferRxNorm-Batch at USD 0.00025 per Unit,2022-10-01,1000000,2000000,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-ComprehendMedical-Batching-IAD-Prod,RxNormInference,us-east-1,Comprehend Medical
64SQ7Y5FCARG6DHR,JRTCKXETXF,64SQ7Y5FCARG6DHR.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of InferRxNorm-Batch at USD 0.00025 per Unit,2022-10-01,2000000,Inf,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferRxNorm,USE1-ComprehendMedical-Batching-IAD-Prod,RxNormInference,us-east-1,Comprehend Medical
BRU4GS6QN8377SE6,JRTCKXETXF,BRU4GS6QN8377SE6.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of DetectPHI-Batch at USD 0.0014 per Unit,2022-10-01,0,1000000,Units,0.0014000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectPHI,USE1-ComprehendMedical-Batching-IAD-Prod,PHIDetection,us-east-1,Comprehend Medical
BRU4GS6QN8377SE6,JRTCKXETXF,BRU4GS6QN8377SE6.JRTCKXETXF.45HZTGWUT8,OnDemand,Between 1M and 2M units of DetectPHI-Batch at USD 0.0005 per Unit,2022-10-01,1000000,2000000,Units,0.0005000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectPHI,USE1-ComprehendMedical-Batching-IAD-Prod,PHIDetection,us-east-1,Comprehend Medical
BRU4GS6QN8377SE6,JRTCKXETXF,BRU4GS6QN8377SE6.JRTCKXETXF.VQ39PKQRBK,OnDemand,More than 2M units of DetectPHI-Batch at USD 0.00025 per Unit,2022-10-01,2000000,Inf,Units,0.0002500000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-DetectPHI,USE1-ComprehendMedical-Batching-IAD-Prod,PHIDetection,us-east-1,Comprehend Medical
CZWJ32P5S5GDYFMQ,JRTCKXETXF,CZWJ32P5S5GDYFMQ.JRTCKXETXF.SB2VSFF4TP,OnDemand,First 1M units of InferICD10CM-Sync at USD 0.0005 per Unit,2022-10-01,0,1000000,Units,0.0005000000,USD,Entity Detection,comprehendmedical,US East (N. Virginia),AWS Region,Global-ComprehendMedical-InferICD10CM,USE1-InferICD10CM,InferICD10CM,us-east-1,Comprehend Medical
