SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,Instance Type,vCPU,Memory,Storage Media,Volume Type,Max IOPS/volume,Max throughput/volume,Provisioned,Operating System,Group,Group Description,usageType,operation,Maax Volume Size,PlatoVolumeType,Region Code,serviceName,Volume API Name
432Z8QF9FD34VET6,JRTCKXETXF,432Z8QF9FD34VET6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.086 per Windows g4dn.8xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,4.0860000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.8xlarge,32,128,,,,,,Windows,,,USE1-g4dn.8xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
7HEN87KK6JBQZHW5,JRTCKXETXF,7HEN87KK6JBQZHW5.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.825 per Windows g5.4xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,2.8250000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g5.4xlarge,16,64,,,,,,Windows,,,USE1-g5.4xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
7W45WG37BXRUHGYV,JRTCKXETXF,7W45WG37BXRUHGYV.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.795 per Windows g4dn.xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,0.7950000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.xlarge,4,16,,,,,,Windows,,,USE1-g4dn.xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
7Y64FA969NA87K2U,JRTCKXETXF,7Y64FA969NA87K2U.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.445 per Windows g5.xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,1.4450000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g5.xlarge,4,16,,,,,,Windows,,,USE1-g5.xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
8S9A6G54VWU5NCMZ,JRTCKXETXF,8S9A6G54VWU5NCMZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$4.19 per Windows user,2022-12-01,0,Inf,user,4.1900000000,USD,User Fees,nimble,US East (N. Virginia),AWS Region,,,,,,,,,,,,USE1-WindowsRDSLicense,WindowsRDSLicense,,,us-east-1,Amazon Nimble Studio,
9CU47Z92KVASVSC8,JRTCKXETXF,9CU47Z92KVASVSC8.JRTCKXETXF.6YS6EN2CT7,OnDemand,$8.172 per Windows g4dn.16xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,8.1720000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.16xlarge,64,256,,,,,,Windows,,,USE1-g4dn.16xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
9WFFJDWEX5395WR6,JRTCKXETXF,9WFFJDWEX5395WR6.JRTCKXETXF.6YS6EN2CT7,OnDemand,$3.016 per Linux g5.8xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,3.0160000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g5.8xlarge,32,128,,,,,,Linux,,,USE1-g5.8xlarge,RunStreamingSessionLinux,,,us-east-1,Amazon Nimble Studio,
A34TKTPKZHYK485F,JRTCKXETXF,A34TKTPKZHYK485F.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.404 per Linux g3.4xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,1.4040000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g3.4xlarge,16,122,,,,,,Linux,,,USE1-g3.4xlarge,RunStreamingSessionLinux,,,us-east-1,Amazon Nimble Studio,
AUXP3FPWX2NJMJQD,JRTCKXETXF,AUXP3FPWX2NJMJQD.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.842 per Linux g4dn.2xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,0.8420000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.2xlarge,8,32,,,,,,Linux,,,USE1-g4dn.2xlarge,RunStreamingSessionLinux,,,us-east-1,Amazon Nimble Studio,
BXXBU88DW9CWAS22,JRTCKXETXF,BXXBU88DW9CWAS22.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.0625 per GB-Mo for Nimble-EBS-Snapshot in US East (N. Virginia),2022-12-01,0,Inf,GB-Mo,0.0625000000,USD,Storage Snapshot,nimble,US East (N. Virginia),AWS Region,,,,Amazon S3,,,,,,,,EBS:SnapshotUsage,,,SnapshotUsage,us-east-1,Amazon Nimble Studio,
CQUVN6KR9ERMPZF2,JRTCKXETXF,CQUVN6KR9ERMPZF2.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.589 per Linux g4dn.xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,0.5890000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.xlarge,4,16,,,,,,Linux,,,USE1-g4dn.xlarge,RunStreamingSessionLinux,,,us-east-1,Amazon Nimble Studio,
E6MWSFRSWNXKXV2Y,JRTCKXETXF,E6MWSFRSWNXKXV2Y.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.229 per Windows g3.4xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,2.2290000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g3.4xlarge,16,122,,,,,,Windows,,,USE1-g3.4xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
ERAWMQEPXA66C58S,JRTCKXETXF,ERAWMQEPXA66C58S.JRTCKXETXF.6YS6EN2CT7,OnDemand,$6.854 per Windows g4dn.12xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,6.8540000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.12xlarge,48,192,,,,,,Windows,,,USE1-g4dn.12xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
FE8NXTP4UFA3HZKE,JRTCKXETXF,FE8NXTP4UFA3HZKE.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.10 per GB-Mo for Nimble-EBS-Storage in US East (N. Virginia),2022-12-01,0,Inf,GB-Mo,0.1000000000,USD,Storage,nimble,US East (N. Virginia),AWS Region,,,,SSD-backed,General Purpose,16000,1000 MiB/s,,,,,EBS:VolumeUsage.gp3,,16 TiB,,us-east-1,Amazon Nimble Studio,gp3
J6K5MHJVUNQGCCRM,JRTCKXETXF,J6K5MHJVUNQGCCRM.JRTCKXETXF.6YS6EN2CT7,OnDemand,$1.254 per Windows g4dn.2xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,1.2540000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.2xlarge,8,32,,,,,,Windows,,,USE1-g4dn.2xlarge,RunStreamingSessionWindows,,,us-east-1,Amazon Nimble Studio,
N57XBBCVJ7GDNJFP,JRTCKXETXF,N57XBBCVJ7GDNJFP.JRTCKXETXF.6YS6EN2CT7,OnDemand,$2.437 per Linux g4dn.8xlarge Streaming Hour,2022-12-01,0,Inf,Hrs,2.4370000000,USD,Streaming Instance,nimble,US East (N. Virginia),AWS Region,g4dn.8xlarge,32,128,,,,,,Linux,,,USE1-g4dn.8xlarge,RunStreamingSessionLinux,,,us-east-1,Amazon Nimble Studio,
