SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,Product Family,serviceCode,Location,Location Type,usageType,operation,Region Code,serviceName,Supported Modes
3F5ZNN2H4CAQJUUJ,JRTCKXETXF,3F5ZNN2H4CAQJUUJ.JRTCKXETXF.6YS6EN2CT7,OnDemand,Processed Medical streaming transcription request in us-east-1,2024-09-01,0,Inf,seconds,0.0012500000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-MedicalStreamingAudio,MedicalStreamingAudio,us-east-1,Amazon Transcribe,Stream to Text
3KW6QC2H8X2W9QPC,JRTCKXETXF,3KW6QC2H8X2W9QPC.JRTCKXETXF.XEPN5HMENM,OnDemand,$0.00006 per seconds for ToxicityDetectionTranscribeAudio:ToxicityDetectionTranscribeAudio in US East (N. Virginia),2024-09-01,0,15000000,seconds,0.0000600000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-ToxicityDetectionTranscribeAudio,ToxicityDetectionTranscribeAudio,us-east-1,Amazon Transcribe,Toxicity Detection
3KW6QC2H8X2W9QPC,JRTCKXETXF,3KW6QC2H8X2W9QPC.JRTCKXETXF.R5R9GNZZG6,OnDemand,$0.0000375 per seconds for ToxicityDetectionTranscribeAudio:ToxicityDetectionTranscribeAudio in US East (N. Virginia),2024-09-01,15000000,60000000,seconds,0.0000375000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-ToxicityDetectionTranscribeAudio,ToxicityDetectionTranscribeAudio,us-east-1,Amazon Transcribe,Toxicity Detection
3KW6QC2H8X2W9QPC,JRTCKXETXF,3KW6QC2H8X2W9QPC.JRTCKXETXF.EPWSATNW8X,OnDemand,$0.000025 per seconds for ToxicityDetectionTranscribeAudio:ToxicityDetectionTranscribeAudio in US East (N. Virginia),2024-09-01,60000000,300000000,seconds,0.0000250000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-ToxicityDetectionTranscribeAudio,ToxicityDetectionTranscribeAudio,us-east-1,Amazon Transcribe,Toxicity Detection
3KW6QC2H8X2W9QPC,JRTCKXETXF,3KW6QC2H8X2W9QPC.JRTCKXETXF.Y5DREYKEMT,OnDemand,$0.00002 per seconds for ToxicityDetectionTranscribeAudio:ToxicityDetectionTranscribeAudio in US East (N. Virginia),2024-09-01,300000000,Inf,seconds,0.0000200000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-ToxicityDetectionTranscribeAudio,ToxicityDetectionTranscribeAudio,us-east-1,Amazon Transcribe,Toxicity Detection
4FYZJJEFPGCX363E,JRTCKXETXF,4FYZJJEFPGCX363E.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per Second for TranscribeClmAudio:TranscribeClmAudio in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,seconds,0.0001000000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeClmAudio,TranscribeClmAudio,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4FYZJJEFPGCX363E,JRTCKXETXF,4FYZJJEFPGCX363E.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per Second for TranscribeClmAudio:TranscribeClmAudio in US East (N. Virginia),250K min to 1M min,2024-09-01,15000000,60000000,seconds,0.0000630000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeClmAudio,TranscribeClmAudio,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4FYZJJEFPGCX363E,JRTCKXETXF,4FYZJJEFPGCX363E.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per Second for TranscribeClmAudio:TranscribeClmAudio in US East (N. Virginia),1M min to 5M min,2024-09-01,60000000,300000000,seconds,0.0000430000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeClmAudio,TranscribeClmAudio,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4FYZJJEFPGCX363E,JRTCKXETXF,4FYZJJEFPGCX363E.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per Second for TranscribeClmAudio:TranscribeClmAudio in US East (N. Virginia),5M min +,2024-09-01,300000000,Inf,seconds,0.0000330000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeClmAudio,TranscribeClmAudio,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4X8MVN64HNNPYKJP,JRTCKXETXF,4X8MVN64HNNPYKJP.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per Second for TranscribeStreamingClm:TranscribeStreamingClm in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,seconds,0.0001000000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeStreamingClm,TranscribeStreamingClm,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4X8MVN64HNNPYKJP,JRTCKXETXF,4X8MVN64HNNPYKJP.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per Second for TranscribeStreamingClm:TranscribeStreamingClm in US East (N. Virginia),250K min to 1M min,2024-09-01,15000000,60000000,seconds,0.0000630000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeStreamingClm,TranscribeStreamingClm,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4X8MVN64HNNPYKJP,JRTCKXETXF,4X8MVN64HNNPYKJP.JRTCKXETXF.EPWSATNW8X,OnDemand,USD per Second for TranscribeStreamingClm:TranscribeStreamingClm in US East (N. Virginia),1M min to 5M min,2024-09-01,60000000,300000000,seconds,0.0000430000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeStreamingClm,TranscribeStreamingClm,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
4X8MVN64HNNPYKJP,JRTCKXETXF,4X8MVN64HNNPYKJP.JRTCKXETXF.Y5DREYKEMT,OnDemand,USD per Second for TranscribeStreamingClm:TranscribeStreamingClm in US East (N. Virginia),5M min +,2024-09-01,300000000,Inf,seconds,0.0000330000,USD,Streaming,transcribe,US East (N. Virginia),AWS Region,USE1-TranscribeStreamingClm,TranscribeStreamingClm,us-east-1,Amazon Transcribe,Transcribe Custom Language Model
EASEZCD8P5RFWFVY,JRTCKXETXF,EASEZCD8P5RFWFVY.JRTCKXETXF.XEPN5HMENM,OnDemand,USD per second for CallAnalytics:Summarization in US East (N. Virginia),0 to 250K min,2024-09-01,0,15000000,seconds,0.0000400000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-SummaryCallAnalyticsTranscribe,SummaryCallAnalyticsTranscribe,us-east-1,Amazon Transcribe,Transcribe Call Analytics Summarization
EASEZCD8P5RFWFVY,JRTCKXETXF,EASEZCD8P5RFWFVY.JRTCKXETXF.R5R9GNZZG6,OnDemand,USD per second for CallAnalytics:Summarization  in US East (N. Virginia),250K to 1M min,2024-09-01,15000000,60000000,seconds,0.0000250000,USD,Transcription Job,transcribe,US East (N. Virginia),AWS Region,USE1-SummaryCallAnalyticsTranscribe,SummaryCallAnalyticsTranscribe,us-east-1,Amazon Transcribe,Transcribe Call Analytics Summarization
